ENSEMBL,ENTREZID,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val
ENSG00000137038,90871,DMAC1,-0.3831898,5.01277421,-3.9301265,0.00022219,0.01322315
ENSG00000178104,9659,PDE4DIP,0.60575925,8.19227913,3.92284547,0.00022759,0.01348416
ENSG00000103449,6299,SALL1,0.65423998,5.27570686,3.92034594,0.00022948,0.01350329
ENSG00000105376,7087,ICAM5,-0.9367275,4.05037896,-3.9194801,0.00023014,0.01350329
ENSG00000000419,8813,DPM1,-0.2607013,4.71330128,-3.9177324,0.00023147,0.01350329
ENSG00000176105,7525,YES1,0.56565463,5.62440504,3.91702685,0.000232,0.01350329
ENSG00000174032,253512,SLC25A30,0.50109491,4.09531598,3.91386104,0.00023444,0.0135651
ENSG00000166263,252983,STXBP4,0.57406566,2.67586404,3.91141205,0.00023634,0.0135651
ENSG00000180357,23060,ZNF609,0.36000027,5.8085883,3.91117102,0.00023653,0.0135651
ENSG00000188783,5549,PRELP,1.01470476,5.53864722,3.90924769,0.00023803,0.0135651
ENSG00000162909,824,CAPN2,0.61427833,7.18455698,3.90903159,0.0002382,0.0135651
ENSG00000196935,57522,SRGAP1,0.68302164,4.01655727,3.90650677,0.00024019,0.01357023
ENSG00000134294,54407,SLC38A2,0.89825803,7.79344213,3.90465521,0.00024166,0.01357023
ENSG00000175556,79836,LONRF3,1.00041293,1.36829633,3.90390376,0.00024226,0.01357023
ENSG00000164684,619279,ZNF704,0.37041845,5.9364667,3.90372634,0.0002424,0.01357023
ENSG00000154845,9989,PPP4R1,0.360034,5.39580707,3.90231759,0.00024353,0.01357579
ENSG00000111087,2735,GLI1,1.43375913,1.63481034,3.8971515,0.0002477,0.01370008
ENSG00000122507,27241,BBS9,0.33865704,4.28058361,3.89699413,0.00024783,0.01370008
ENSG00000074842,56005,MYDGF,-0.2845032,4.75105204,-3.8956072,0.00024896,0.01370538
ENSG00000183978,28958,COA3,-0.3427264,5.7657139,-3.8942571,0.00025007,0.01370925
ENSG00000136144,55213,RCBTB1,0.28981642,6.24520176,3.890154,0.00025347,0.013838
ENSG00000089248,10961,ERP29,-0.2910808,5.86649249,-3.8882092,0.00025509,0.01386573
ENSG00000163110,10611,PDLIM5,0.65734929,6.48499735,3.88704009,0.00025607,0.01386573
ENSG00000178057,25915,NDUFAF3,-0.4663311,4.72139536,-3.8830786,0.00025943,0.01393408
ENSG00000148482,221074,SLC39A12,1.15115236,6.3283753,3.8802534,0.00026184,0.01393408
ENSG00000163703,78987,CRELD1,-0.460737,6.12693942,-3.8765297,0.00026506,0.01393408
ENSG00000152936,160492,LMNTD1,1.32110449,-0.9786507,3.87553184,0.00026593,0.01393408
ENSG00000132768,1802,DPH2,-0.3145502,4.07420796,-3.8754784,0.00026598,0.01393408
ENSG00000128564,7425,VGF,-1.8004526,2.64109907,-3.8753217,0.00026612,0.01393408
ENSG00000113384,64083,GOLPH3,0.23351151,6.30853892,3.87298687,0.00026816,0.01393408
ENSG00000137478,9873,FCHSD2,0.41930329,6.31002617,3.8729703,0.00026818,0.01393408
ENSG00000119950,4601,MXI1,0.45792101,7.35381912,3.87282445,0.0002683,0.01393408
ENSG00000144847,152404,IGSF11,0.54071161,5.2841072,3.87258275,0.00026852,0.01393408
ENSG00000114790,26084,ARHGEF26,0.74529729,5.49384103,3.87131357,0.00026964,0.01393408
ENSG00000163349,204851,HIPK1,0.37319982,6.98071509,3.87091351,0.00026999,0.01393408
ENSG00000054523,23095,KIF1B,0.41736882,9.48012194,3.86864418,0.00027201,0.0139544
ENSG00000180370,5062,PAK2,0.39892457,6.58861008,3.86705778,0.00027343,0.0139544
ENSG00000146701,4191,MDH2,-0.3546405,7.23793706,-3.8669144,0.00027355,0.0139544
ENSG00000116353,51102,MECR,-0.5325228,4.61327572,-3.8630459,0.00027704,0.01395535
ENSG00000121413,65982,ZSCAN18,-0.3725388,6.54992293,-3.8619689,0.00027802,0.01395535
ENSG00000008311,10157,AASS,0.84966368,3.46706654,3.86168744,0.00027828,0.01395535
ENSG00000076067,5939,RBMS2,0.77816153,5.12691913,3.86104858,0.00027886,0.01395535
ENSG00000131023,9113,LATS1,0.38225404,4.93984772,3.85660331,0.00028295,0.01395535
ENSG00000151376,10873,ME3,-0.5123368,4.78344583,-3.8565851,0.00028296,0.01395535
ENSG00000100908,51016,EMC9,-0.4836425,3.35999465,-3.8559319,0.00028357,0.01395535
ENSG00000156170,137682,NDUFAF6,-0.2966808,3.95338715,-3.8552597,0.00028419,0.01395535
ENSG00000112851,55914,ERBIN,0.71042621,7.70274914,3.85482204,0.0002846,0.01395535
ENSG00000177119,196527,ANO6,0.75611384,5.18177493,3.85407249,0.0002853,0.01395535
ENSG00000126804,22890,ZBTB1,0.42487348,4.94925103,3.85267108,0.00028661,0.01395535
ENSG00000140948,23174,ZCCHC14,0.31996465,5.72602688,3.85206771,0.00028718,0.01395535
ENSG00000112739,8899,PRPF4B,0.30629559,6.07997521,3.85193358,0.0002873,0.01395535
ENSG00000130770,93974,ATP5IF1,-0.4764848,6.10650969,-3.8473481,0.00029164,0.01400256
ENSG00000132471,23558,WBP2,-0.3355935,8.61073222,-3.8472787,0.00029171,0.01400256
ENSG00000171988,221037,JMJD1C,0.28214157,5.82708398,3.84600227,0.00029293,0.01400256
ENSG00000189306,27341,RRP7A,-0.5023885,5.36098018,-3.8457134,0.00029321,0.01400256
ENSG00000118707,60436,TGIF2,0.69326261,2.16305828,3.84465662,0.00029422,0.01400256
ENSG00000166292,55273,TMEM100,1.03503924,2.55933193,3.84422558,0.00029463,0.01400256
ENSG00000106351,3268,AGFG2,0.45714971,5.28320992,3.84156518,0.00029721,0.01402597
