gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000086696|HSD17B2	-0.025417058	2.48338e-05	AD	Control	160
ENSG00000078018|MAP2	-0.190322184	7.62427e-06	AD	Control	160
ENSG00000086827|ZW10	0.039365515	1.81682e-05	AD	Control	160
ENSG00000132470|ITGB4	0.030727914	2.74974e-05	AD	Control	160
ENSG00000087074|PPP1R15A	-0.270874454	2.881e-07	AD	Control	160
ENSG00000087077|TRIP6	0.240241992	5.61249e-07	AD	Control	160
ENSG00000073670|ADAM11	-0.298496711	3.42256e-07	AD	Control	160
ENSG00000005893|LAMP2	0.370096391	1.24105e-07	AD	Control	160
ENSG00000197208|SLC22A4	0.161459369	1.28204e-06	AD	Control	160
ENSG00000087237|CETP	-0.08673586	1.48001e-05	AD	Control	160
ENSG00000087250|MT3	-0.19340957	3.85732e-06	AD	Control	160
ENSG00000087494|PTHLH	-0.485301255	5.93029e-08	AD	Control	160
ENSG00000087510|TFAP2C	0.668945535	7.70033e-12	AD	Control	160
ENSG00000088002|SULT2B1	-0.200056754	6.78638e-06	AD	Control	160
ENSG00000131037|EPS8L1	-0.113812715	1.54748e-05	AD	Control	160
ENSG00000197183|NOL4L	-0.103430977	3.63677e-06	AD	Control	160
ENSG00000088305|DNMT3B	-0.182215865	1.46886e-06	AD	Control	160
ENSG00000088320|REM1	0.006944664	3.01922e-05	AD	Control	160
ENSG00000088356|PDRG1	-0.056774728	9.39958e-06	AD	Control	160
ENSG00000088367|EPB41L1	0.025372687	2.48706e-05	AD	Control	160
ENSG00000088808|PPP1R13B	-0.139808087	1.94451e-06	AD	Control	160
ENSG00000166948|TGM6	-0.179339643	3.06673e-05	AD	Control	160
ENSG00000188559|RALGAPA2	0.121986397	5.3526e-06	AD	Control	160
ENSG00000089009|RPL6	-0.162948553	5.30078e-08	AD	Control	160
ENSG00000089048|ESF1	-0.1691385	8.22134e-07	AD	Control	160
ENSG00000089060|SLC8B1	-0.144222603	2.09356e-06	AD	Control	160
ENSG00000089063|TMEM230	-0.080107701	1.67581e-06	AD	Control	160
ENSG00000089127|OAS1	-0.052996904	2.46759e-05	AD	Control	160
ENSG00000089163|SIRT4	0.14340853	4.35245e-06	AD	Control	160
