Gene,AD vs Control: Parietal White Matter - Log2(fold change) - RIN Corrected,AD vs Control: White Matter - SVA P-value -  RIN corrected
ELMO2P1,-0.034,4.67E-01
ELMOD1,0.123,3.54E-01
ELMOD2,-0.114,1.16E-01
ELMOD3,-0.114,2.33E-01
ELMSAN1,-0.015,6.96E-01
ELN,0.103,7.44E-01
ELOF1,0.065,7.09E-01
ELOVL1,-0.341,1.94E-01
ELOVL2,0.007,8.30E-01
ELOVL4,0.095,4.44E-01
ELOVL5,-0.146,3.42E-01
ELOVL6,-0.105,8.34E-01
ELOVL7,-0.257,4.88E-02
ELP2,-0.062,1.85E-01
ELP3,0.002,7.61E-01
ELP4,-0.076,4.87E-01
ELP5,0.014,8.83E-01
ELP6,-0.019,5.28E-01
EMB,0.015,7.01E-01
EMC1,0.012,7.03E-01
EMC10,-0.127,2.53E-01
EMC2,-0.145,2.08E-01
EMC3,-0.026,8.19E-01
EMC3-AS1,0.063,2.08E-01
EMC4,-0.053,7.09E-01
EMC6,0.011,8.82E-01
EMC7,-0.151,9.09E-02
EMC8,-0.144,7.27E-02
EMC9,0.040,9.62E-01
EMCN,0.010,7.17E-01
EMD,-0.074,1.43E-01
EME2,0.147,2.88E-01
EMG1,-0.062,3.65E-01
EMID1,0.217,2.62E-01
EMILIN1,-0.014,7.09E-01
EMILIN3,-0.028,7.65E-01
EML1,-0.132,4.77E-01
EML2,-0.097,1.59E-01
EML3,-0.162,1.26E-01
EML4,-0.038,5.17E-01
EML5,0.091,2.10E-01
EML6,0.169,2.15E-01
EMP1,0.049,8.26E-01
EMP2,-0.039,8.32E-01
EMP3,0.084,5.87E-01
EMX1,0.531,7.16E-02
EMX2,0.061,3.16E-01
EMX2OS,0.100,1.22E-01
ENAH,-0.121,2.20E-01
ENC1,0.363,3.59E-01
ENDOD1,-0.219,1.51E-01
ENDOG,0.023,8.97E-01
ENDOV,0.022,8.14E-01
ENG,-0.021,3.25E-01
ENGASE,-0.035,4.40E-01
ENHO,0.053,4.49E-01
ENKD1,0.072,5.31E-01
ENKUR,-0.032,7.49E-01
ENO1,0.010,7.64E-01
ENO2,-0.016,8.23E-01
ENO4,-0.205,1.60E-01
ENOPH1,-0.228,5.89E-02
ENOSF1,-0.340,9.01E-02
ENOX1,-0.076,3.63E-01
ENOX2,-0.177,1.41E-01
ENPP2,-0.780,5.69E-02
ENPP4,-0.250,1.00E-01
ENPP5,0.030,3.34E-01
ENPP6,-0.262,2.52E-01
ENPP7P1,0.082,4.09E-01
ENPP7P10,0.024,4.13E-01
ENPP7P11,0.070,6.96E-01
ENPP7P13,0.045,7.02E-01
ENPP7P2,0.022,6.23E-01
ENPP7P4,0.033,5.49E-01
ENPP7P7,0.026,5.25E-01
ENPP7P8,0.025,6.03E-01
ENPP7P9,0.034,6.80E-01
ENSA,0.037,6.36E-01
ENTHD2,0.031,7.61E-01
ENTPD1,0.005,7.22E-01
ENTPD1-AS1,-0.014,5.41E-01
ENTPD2,-0.081,2.15E-01
ENTPD3,0.036,7.14E-01
ENTPD3-AS1,-0.068,4.09E-01
ENTPD4,0.026,4.81E-01
ENTPD5,-0.187,7.16E-02
ENTPD6,0.167,2.61E-01
ENTPD7,-0.026,8.71E-01
ENY2,-0.026,6.05E-01
EOGT,0.010,3.89E-01
EP300,0.001,9.09E-01
EP300-AS1,0.012,7.67E-01
EP400,0.013,8.89E-01
EP400NL,-0.011,9.99E-01
EPAS1,0.021,7.44E-01
EPB41,0.257,7.51E-02
EPB41L1,0.329,6.20E-02
EPB41L2,-0.082,3.93E-01
EPB41L3,-0.253,2.00E-01
EPB41L4A,-0.040,2.15E-01
EPB41L4A-AS1,0.000,8.54E-01
EPB41L4B,0.388,7.38E-02
EPB41L5,0.012,5.74E-01
EPC1,-0.011,3.87E-01
EPC2,0.022,8.14E-01
EPCAM,-0.103,2.08E-01
EPDR1,0.119,3.80E-01
EPG5,0.003,7.64E-01
EPHA10,0.091,3.23E-01
EPHA3,0.183,2.20E-01
EPHA4,0.293,3.14E-01
EPHA5,0.059,5.39E-01
EPHA6,0.333,9.54E-02
EPHA7,0.199,3.39E-01
EPHB1,0.225,7.80E-02
EPHB2,0.018,9.48E-01
EPHB6,0.719,8.31E-02
EPHX1,0.092,4.82E-01
EPHX2,-0.089,3.96E-01
EPHX4,0.117,3.90E-01
EPM2A,-0.149,9.74E-02
EPM2AIP1,-0.051,5.48E-01
EPN1,0.185,2.01E-01
EPN2,-0.126,2.24E-01
EPN2-AS1,-0.074,6.97E-01
EPN2-IT1,-0.063,4.16E-01
EPOR,-0.044,8.24E-01
EPPIN,0.014,5.47E-01
EPRS,-0.031,3.37E-01
EPS15,-0.113,1.46E-01
EPS15L1,0.062,4.68E-01
EPS15P1,0.020,3.94E-01
EPS8,-0.019,7.92E-01
EPS8L2,0.058,7.36E-01
EPSTI1,-0.046,6.66E-01
EPT1,-0.029,9.29E-01
ERAL1,0.064,2.18E-01
ERAP1,-0.036,6.94E-01
ERAP2,0.123,4.43E-01
ERBB2,-0.080,2.25E-01
ERBB2IP,-0.180,2.59E-01
ERBB3,-0.540,6.22E-02
ERBB4,-0.013,8.37E-01
ERC1,0.097,1.87E-01
ERC2,0.197,2.52E-01
ERC2-IT1,0.205,1.11E-01
ERCC1,0.012,8.50E-01
ERCC2,0.061,4.80E-01
ERCC3,-0.013,6.23E-01
ERCC4,-0.034,4.32E-01
ERCC5,-0.041,4.43E-01
ERCC6,0.017,8.12E-01
ERCC6-PGBD3,0.011,9.77E-01
ERCC6L2,-0.074,2.07E-01
ERCC8,-0.014,4.78E-01
ERF,-0.132,3.74E-01
ERG,0.100,9.15E-01
ERGIC1,0.079,1.26E-01
ERGIC2,-0.078,2.57E-01
ERGIC3,-0.089,9.60E-02
ERH,-0.100,3.80E-01
ERHP1,0.116,4.94E-01
ERI1,-0.068,3.04E-01
ERI2,-0.159,9.93E-02
ERI3,0.000,8.07E-01
ERI3-IT1,0.031,4.64E-01
ERICH1,0.000,4.01E-01
ERICH1-AS1,0.206,1.62E-01
ERICH2,-0.016,9.95E-01
ERICH3,0.105,5.07E-01
ERLEC1,-0.107,3.60E-01
ERLEC1P1,0.142,6.03E-02
ERLIN1,0.004,9.22E-01
ERLIN2,-0.045,6.89E-01
ERMAP,-0.060,5.84E-01
ERMARD,-0.128,1.08E-01
ERMN,-0.661,6.11E-02
ERMP1,-0.160,2.41E-01
ERO1L,-0.006,6.05E-01
ERO1LB,-0.072,5.77E-01
ERP29,-0.001,8.96E-01
ERP44,-0.038,9.88E-01
ERRFI1,-0.029,8.82E-01
ERV3-1,-0.108,6.83E-01
ERVK13-1,0.056,3.66E-01
ERVV-1,0.013,8.14E-01
ERVW-1,-0.053,5.64E-01
ESAM,0.239,1.87E-01
ESCO1,-0.070,6.19E-02
ESD,-0.106,2.24E-01
ESF1,-0.097,2.26E-01
ESRG,0.197,1.34E-01
ESRRA,0.016,6.91E-01
ESRRG,0.253,8.49E-02
ESYT1,-0.001,9.67E-01
ESYT2,0.029,5.11E-01
ESYT3,0.264,9.02E-02
ETAA1,-0.095,3.82E-01
ETF1,-0.055,3.90E-01
ETF1P1,-0.070,5.28E-01
ETF1P2,0.041,5.01E-01
ETFA,-0.062,9.03E-01
ETFB,-0.191,7.16E-02
ETFDH,0.002,7.08E-01
ETHE1,-0.085,4.46E-01
ETNK1,0.004,6.98E-01
ETNK2,0.051,2.94E-01
ETNPPL,-0.175,7.55E-01
ETS1,0.056,9.63E-01
ETS2,0.051,5.40E-01
ETV1,-0.022,7.93E-01
ETV3,-0.011,4.87E-01
ETV5,0.026,7.23E-01
ETV6,0.007,9.64E-01
EVA1B,0.174,7.16E-02
EVA1C,-0.120,1.68E-01
EVC,0.090,8.01E-01
EVI2A,-0.632,6.79E-02
EVI2B,-0.188,2.54E-01
EVI5,-0.100,9.47E-02
EVI5L,-0.024,4.73E-01
EVL,0.249,8.49E-02
EWSR1,0.005,6.64E-01
EXD1,0.062,5.30E-01
EXD2,0.004,4.18E-01
EXD3,0.069,8.06E-01
EXO5,-0.015,6.71E-01
EXOC1,-0.090,1.07E-01
EXOC2,-0.039,2.55E-01
EXOC3,-0.052,1.64E-01
EXOC3-AS1,0.011,7.24E-01
EXOC4,-0.008,8.32E-01
EXOC5,-0.144,8.49E-02
EXOC6,0.017,8.07E-01
EXOC6B,-0.123,7.80E-02
EXOC7,0.044,7.42E-01
EXOC8,-0.036,9.28E-01
EXOG,-0.003,9.96E-01
EXOSC1,-0.092,1.69E-01
EXOSC10,-0.033,4.60E-01
EXOSC2,-0.029,3.43E-01
EXOSC3,-0.042,6.45E-01
EXOSC3P1,-0.015,8.07E-01
EXOSC3P2,0.005,7.29E-01
EXOSC4,0.139,3.71E-01
EXOSC5,-0.044,6.15E-01
EXOSC6,0.037,8.65E-01
EXOSC7,-0.021,6.91E-01
EXOSC8,-0.096,2.01E-01
EXOSC9,-0.071,1.99E-01
EXPH5,0.008,9.93E-01
EXT1,0.004,8.31E-01
EXT2,0.002,8.81E-01
EXTL1,0.495,7.16E-02
EXTL2,0.013,6.22E-01
EXTL3,0.083,2.64E-01
EXTL3-AS1,0.019,9.92E-01
EYA1,0.004,8.48E-01
EYA2,0.123,7.27E-02
EYA3,0.034,3.77E-01
EYA4,-0.101,1.80E-01
EZH1,-0.097,1.94E-01
EZR,0.067,2.85E-01
F11R,-0.014,8.98E-01
F13A1,0.094,8.92E-01
F2R,-0.070,8.24E-01
F2RL3,-0.007,7.97E-01
F3,0.061,8.04E-01
F5,-0.104,4.17E-01
F8,0.072,4.46E-01
F8A1,0.076,4.20E-01
FA2H,-0.324,2.12E-01
FAAH,-0.156,1.66E-01
FAAH2,0.055,5.53E-01
FABP3,-0.048,7.89E-01
FABP5,0.062,6.32E-01
FABP5P2,-0.075,6.97E-01
FABP5P4,0.001,6.23E-01
FABP5P7,0.044,8.15E-01
FABP6,-0.009,9.94E-01
FABP7,0.194,2.08E-01
FABP7P1,0.071,2.12E-01
FADD,-0.083,2.53E-01
FADS1,-0.202,1.08E-01
FADS2,-0.185,1.60E-01
FADS3,0.012,8.15E-01
FADS6,0.203,1.05E-01
FAF1,-0.057,2.03E-01
FAF2,0.010,8.65E-01
FAH,0.052,7.48E-01
FAHD1,0.072,5.32E-01
FAHD2A,-0.081,2.70E-01
FAHD2B,-0.186,9.47E-02
FAHD2CP,-0.302,1.02E-01
FAIM,-0.197,7.16E-02
FAIM2,0.267,1.29E-01
FAM101B,0.162,2.14E-01
FAM102A,-0.124,3.80E-01
FAM102B,-0.028,6.82E-01
FAM103A1,-0.014,9.43E-01
FAM103A2P,-0.133,2.56E-01
FAM104A,0.033,8.71E-01
FAM104B,-0.018,8.93E-01
FAM105A,0.053,5.25E-01
FAM106A,0.013,7.54E-01
FAM106B,0.062,5.99E-01
FAM106CP,0.197,1.55E-01
FAM107A,-0.035,8.71E-01
FAM107B,-0.525,7.22E-02
FAM110B,0.162,9.02E-02
FAM110C,-0.073,9.36E-01
FAM110D,-0.041,3.03E-01
FAM111A,-0.107,3.39E-01
FAM114A1,-0.112,2.29E-01
FAM114A2,0.005,9.92E-01
FAM117A,0.096,2.50E-01
FAM117B,0.086,2.20E-01
FAM118A,0.087,7.70E-01
FAM118B,0.066,2.33E-01
FAM120A,-0.025,5.50E-01
FAM120AOS,0.008,7.59E-01
FAM120B,0.028,5.29E-01
FAM120C,-0.026,7.44E-01
FAM122A,-0.045,5.46E-01
FAM122B,-0.074,2.08E-01
FAM122C,-0.043,2.96E-01
FAM124A,-0.356,1.00E-01
FAM126A,-0.194,1.08E-01
FAM126B,0.065,3.98E-01
FAM127A,0.015,9.49E-01
FAM127B,-0.047,8.85E-01
FAM127C,-0.007,6.84E-01
FAM129A,-0.108,4.76E-01
FAM129B,0.066,6.85E-01
FAM131A,0.128,3.45E-01
FAM131B,0.043,5.31E-01
FAM131C,0.044,5.74E-01
FAM133A,0.011,4.90E-01
FAM133B,0.012,8.91E-01
FAM134A,0.054,3.31E-01
FAM134B,-0.243,8.62E-02
FAM134C,0.030,5.41E-01
FAM135A,-0.032,5.41E-01
FAM135B,0.229,1.77E-01
FAM136A,0.029,6.31E-01
FAM13A,0.209,8.10E-02
FAM13A-AS1,-0.012,7.42E-01
FAM13B,0.041,5.03E-01
FAM13C,-0.357,5.89E-02
FAM149A,-0.055,7.11E-01
FAM149B1,-0.076,2.42E-01
FAM151B,0.083,2.33E-01
FAM153A,0.610,9.59E-02
FAM153B,0.464,1.61E-01
FAM153C,0.235,1.15E-01
FAM155A,0.109,4.05E-01
FAM155A-IT1,0.378,9.79E-02
FAM156A,0.024,9.33E-01
FAM156B,0.083,6.31E-01
FAM157C,-0.084,3.99E-01
FAM160A2,0.024,9.73E-01
FAM160B1,0.037,3.80E-01
FAM160B2,0.090,4.97E-01
FAM161A,0.024,8.66E-01
FAM161B,0.074,4.66E-01
FAM162A,-0.107,5.79E-01
FAM162B,0.199,3.78E-01
FAM163B,0.605,1.05E-01
FAM167A,-0.005,9.56E-01
FAM168A,0.008,7.06E-01
FAM168B,0.028,6.08E-01
FAM169A,-0.005,6.17E-01
FAM171A1,0.031,5.40E-01
FAM171A2,0.565,5.20E-02
FAM171B,0.099,1.91E-01
FAM172A,-0.059,2.25E-01
FAM173A,0.072,6.58E-01
FAM173B,-0.028,8.32E-01
FAM174A,-0.137,2.71E-01
FAM174B,0.057,5.06E-01
FAM175A,-0.092,1.16E-01
FAM175B,-0.013,9.83E-01
FAM177A1,-0.257,6.98E-02
FAM177A1P1,-0.022,5.99E-01
FAM177B,-0.029,8.23E-01
FAM178A,-0.249,7.44E-02
FAM178B,-0.161,1.55E-01
FAM179A,0.099,6.27E-01
FAM179B,-0.039,6.52E-01
FAM181A,0.210,2.67E-01
FAM181B,0.003,8.17E-01
FAM182A,-0.101,7.03E-01
FAM182B,-0.019,9.64E-01
FAM183A,-0.039,7.31E-01
FAM184A,0.167,1.17E-01
FAM184B,-0.041,3.24E-01
FAM185A,0.020,9.53E-01
FAM185BP,-0.005,9.78E-01
FAM188A,-0.073,1.96E-01
FAM188B,0.265,7.35E-02
FAM189A1,0.410,7.16E-02
FAM189A2,-0.084,8.17E-01
FAM189B,0.200,6.68E-02
FAM192A,-0.061,2.04E-01
FAM193A,0.014,9.57E-01
FAM193B,0.060,5.58E-01
FAM195A,0.153,3.53E-01
FAM195B,0.054,8.23E-01
FAM196A,-0.134,1.50E-01
FAM196B,-0.168,2.73E-01
FAM198A,-0.072,8.30E-01
FAM198B,-0.139,4.63E-01
FAM199X,-0.061,8.03E-01
FAM19A1,0.194,2.91E-01
FAM19A2,0.285,2.32E-01
FAM19A4,-0.374,7.16E-02
FAM19A5,0.117,2.63E-01
FAM200A,-0.110,2.19E-01
FAM200B,-0.072,2.08E-01
FAM201A,-0.171,3.69E-01
FAM204A,-0.080,3.35E-01
FAM206A,-0.068,8.41E-01
FAM207A,0.127,3.55E-01
FAM208A,-0.111,1.88E-01
FAM208B,0.017,6.80E-01
FAM20A,0.001,9.98E-01
FAM20B,-0.023,7.99E-01
FAM20C,0.067,8.34E-01
FAM210A,-0.007,9.65E-01
FAM210B,-0.008,4.16E-01
FAM212B,0.312,7.52E-02
FAM213A,-0.012,6.16E-01
FAM213B,0.254,8.49E-02
FAM214A,-0.138,1.91E-01
FAM214B,-0.062,5.64E-01
FAM215A,-0.025,4.97E-01
FAM216A,0.046,5.08E-01
FAM216B,0.003,5.79E-01
FAM217B,0.008,6.06E-01
FAM218A,-0.150,1.71E-01
FAM219A,0.016,8.98E-01
FAM219B,0.036,3.65E-01
FAM21A,0.030,7.09E-01
FAM21C,0.028,7.82E-01
FAM220A,-0.010,7.64E-01
FAM220CP,0.225,1.39E-01
FAM221A,-0.061,3.73E-01
FAM222A,-0.147,3.85E-01
FAM222B,0.061,4.69E-01
FAM225A,-0.122,2.42E-01
FAM227A,0.061,2.64E-01
FAM227B,-0.190,9.67E-02
FAM228A,-0.016,7.55E-01
FAM228B,-0.128,2.52E-01
FAM229B,-0.145,1.44E-01
FAM231D,0.076,3.04E-01
FAM26F,-0.017,8.41E-01
FAM27B,0.299,9.86E-02
FAM27E2,0.138,1.18E-01
FAM27E3,0.142,2.67E-01
FAM27L,0.168,2.22E-01
FAM32A,0.097,2.42E-01
FAM35A,-0.076,1.93E-01
FAM3A,-0.108,2.10E-01
FAM3C,-0.073,8.97E-01
FAM3C2,0.271,4.48E-01
FAM41C,0.175,8.69E-02
FAM43A,0.120,1.89E-01
FAM43B,0.113,1.32E-01
FAM45A,0.002,9.74E-01
FAM46A,0.057,8.34E-01
FAM47E,-0.018,5.56E-01
FAM47E-STBD1,-0.076,5.85E-01
FAM49A,0.069,4.37E-01
FAM49B,-0.101,4.41E-01
FAM50A,-0.080,2.20E-01
FAM50B,0.065,6.19E-01
FAM53B,-0.118,2.99E-01
FAM53B-AS1,-0.076,5.18E-01
FAM53C,0.096,1.26E-01
FAM57A,0.060,4.19E-01
FAM57B,0.393,6.20E-02
FAM58A,-0.196,2.22E-01
FAM60A,-0.004,6.64E-01
FAM63A,-0.279,1.22E-01
FAM63B,-0.096,3.07E-01
FAM65A,0.210,2.01E-01
FAM65B,0.202,2.16E-01
FAM65C,0.265,9.68E-02
FAM66A,0.139,5.06E-01
FAM66B,0.013,9.65E-01
FAM66C,-0.039,4.67E-01
FAM66D,0.008,9.82E-01
FAM66E,-0.050,6.65E-01
FAM69A,-0.106,4.95E-01
FAM69B,0.286,8.98E-02
FAM69C,-0.332,9.10E-02
FAM71C,0.204,1.22E-01
FAM71E1,0.059,4.18E-01
FAM71F2,0.038,6.20E-01
FAM73A,-0.267,3.04E-02
FAM73B,0.089,2.70E-01
FAM74A3,-0.035,5.29E-01
FAM74A7,0.029,6.12E-01
FAM76A,-0.071,5.37E-01
FAM76B,-0.140,1.26E-01
FAM78A,0.088,2.91E-01
FAM78B,0.325,1.04E-01
FAM81A,0.094,3.55E-01
FAM81B,0.163,9.01E-02
FAM83H-AS1,0.034,3.68E-01
FAM84A,0.272,1.68E-01
FAM84B,-0.185,1.93E-01
FAM85A,0.136,7.81E-01
FAM86B1,0.135,6.88E-01
FAM86B3P,0.019,8.71E-01
FAM86DP,0.062,4.88E-01
FAM86EP,0.061,6.66E-01
FAM86FP,0.114,5.06E-01
FAM86LP,0.041,5.70E-01
FAM86MP,0.055,6.23E-01
FAM89A,-0.001,6.96E-01
FAM89B,0.166,1.26E-01
FAM8A1,-0.073,7.86E-01
FAM8A3P,-0.008,8.46E-01
FAM90A1,0.087,6.45E-01
FAM90A20P,-0.018,7.64E-01
FAM90A25P,0.112,9.57E-01
FAM90A26,0.055,7.63E-01
FAM91A1,-0.054,4.43E-01
FAM92A1,0.027,5.64E-01
FAM95A,0.122,1.46E-01
FAM95B1,0.216,7.16E-02
FAM95C,-0.064,8.41E-01
FAM96A,-0.108,2.96E-01
FAM96AP2,0.032,7.45E-01
FAM96B,-0.081,2.64E-01
FAM98A,-0.068,5.61E-01
FAM98B,-0.047,2.98E-01
FAM98C,0.026,9.84E-01
FAN1,-0.048,6.38E-01
FANCA,0.067,5.15E-01
FANCB,-0.118,2.70E-01
FANCC,-0.006,4.97E-01
FANCF,-0.063,2.88E-01
FANCG,0.024,8.22E-01
FANCI,-0.033,6.46E-01
FANCL,-0.183,1.51E-01
FANCM,-0.078,2.17E-01
FANK1,0.103,2.15E-01
FAP,0.077,2.68E-01
FAR1,-0.239,9.86E-02
FAR2,-0.098,8.24E-01
FAR2P2,0.022,4.32E-01
FARP1,0.040,2.79E-01
FARP2,-0.070,1.78E-01
FARS2,0.036,4.47E-01
FARSA,0.038,7.72E-01
FARSB,-0.041,6.44E-01
FAS,0.079,3.63E-01
FASN,0.256,2.08E-01
FASTK,0.133,2.07E-01
FASTKD1,0.063,1.68E-01
FASTKD2,0.022,5.67E-01
FASTKD3,-0.045,2.10E-01
FASTKD5,0.059,2.34E-01
FAT1,-0.088,4.58E-01
FAT3,0.229,1.85E-01
FAT4,-0.238,8.84E-02
FAU,-0.104,1.39E-01
FAXC,0.123,3.44E-01
FAXDC2,-0.242,1.56E-01
FBF1,0.050,6.97E-01
FBL,-0.057,2.34E-01
FBLIM1,-0.015,6.98E-01
FBLL1,0.323,1.61E-01
FBLN1,0.086,3.45E-01
FBLN2,0.122,8.11E-01
FBLN5,0.118,5.67E-01
FBLN7,0.207,2.60E-01
FBN1,-0.058,1.44E-01
FBRS,0.060,9.02E-01
FBRSL1,0.142,1.10E-01
FBXL12,-0.007,5.99E-01
FBXL13,0.010,9.29E-01
FBXL14,0.193,2.09E-01
FBXL15,0.239,1.48E-01
FBXL16,0.825,7.16E-02
FBXL17,-0.002,7.23E-01
FBXL18,0.115,6.86E-02
FBXL19,0.241,9.74E-02
FBXL19-AS1,0.005,6.36E-01
FBXL2,0.062,4.80E-01
FBXL20,0.077,2.20E-01
FBXL22,0.044,5.61E-01
FBXL3,-0.093,2.25E-01
FBXL4,-0.064,2.96E-01
FBXL5,-0.089,2.62E-01
FBXL6,0.183,2.12E-01
FBXL7,-0.069,6.79E-01
FBXO10,0.197,8.92E-02
FBXO11,0.041,3.58E-01
FBXO15,-0.004,8.95E-01
FBXO16,0.239,1.91E-01
FBXO17,0.102,1.66E-01
FBXO18,0.016,7.10E-01
FBXO2,0.181,1.87E-01
FBXO21,-0.011,7.92E-01
FBXO22,-0.069,2.22E-01
FBXO22-AS1,-0.039,7.92E-01
FBXO25,-0.114,1.61E-01
FBXO27,0.039,2.20E-01
FBXO28,0.000,6.76E-01
FBXO3,-0.033,8.91E-01
FBXO30,-0.089,2.56E-01
FBXO31,0.158,1.15E-01
FBXO32,-0.011,7.18E-01
FBXO33,0.051,3.14E-01
FBXO34,0.111,3.55E-01
FBXO36,-0.021,6.77E-01
FBXO38,-0.043,1.69E-01
FBXO4,-0.170,5.61E-02
FBXO41,0.657,7.16E-02
FBXO42,0.076,1.22E-01
FBXO44,0.270,8.49E-02
FBXO45,-0.074,2.64E-01
FBXO46,0.067,4.60E-01
FBXO48,-0.042,3.84E-01
FBXO6,-0.023,6.19E-01
FBXO7,-0.217,9.59E-02
FBXO8,-0.038,7.09E-01
FBXO9,-0.015,7.24E-01
FBXW11,-0.058,2.08E-01
FBXW2,-0.038,2.37E-01
FBXW4,0.030,7.02E-01
FBXW5,0.200,2.35E-01
FBXW7,0.124,4.18E-01
FBXW8,-0.028,4.25E-01
FBXW9,0.065,5.33E-01
FCAR,-0.049,6.32E-01
FCER1G,-0.055,9.74E-01
FCF1,-0.128,9.59E-02
FCF1P1,0.053,3.71E-01
FCF1P3,0.121,1.74E-01
FCF1P7,-0.123,3.32E-01
FCGBP,0.123,8.03E-01
FCGR1A,-0.130,8.50E-01
FCGR1B,-0.056,8.91E-01
FCGR1C,-0.350,1.43E-01
FCGR2A,-0.042,9.84E-01
FCGR2B,-0.001,9.33E-01
FCGR2C,-0.131,4.60E-01
FCGR3A,-0.158,8.25E-01
FCGRT,-0.118,5.31E-01
FCHO1,-0.125,2.56E-01
FCHO2,-0.117,1.22E-01
FCHSD1,-0.057,6.05E-01
FCHSD2,-0.080,4.23E-01
FDFT1,-0.074,5.14E-01
FDPS,-0.059,3.30E-01
FDPSP10,0.035,8.78E-01
FDPSP2,-0.059,1.94E-01
FDX1,0.049,3.84E-01
FDX1L,0.109,3.70E-01
FDX1P1,-0.014,8.96E-01
FDXR,-0.002,6.75E-01
FECH,-0.122,1.71E-01
FEM1A,0.018,9.54E-01
FEM1B,-0.081,6.28E-01
FEM1C,-0.049,5.59E-01
FEN1,-0.062,4.19E-01
FER,0.023,5.02E-01
FERMT1,-0.104,3.38E-01
FERMT2,-0.072,5.69E-01
FERMT3,-0.012,6.03E-01
FES,0.050,7.03E-01
FEZ1,-0.154,1.86E-01
FEZ2,-0.063,4.86E-01
FEZF2,0.233,1.22E-01
FGD1,0.151,1.47E-01
FGD2,-0.148,3.33E-01
FGD4,-0.073,6.13E-01
FGD5,0.203,8.57E-02
FGD5-AS1,-0.099,1.39E-01
FGD5P1,-0.028,3.39E-01
FGD6,0.113,1.89E-01
FGF1,-0.239,2.11E-01
FGF11,-0.154,4.72E-01
FGF12,0.015,6.59E-01
FGF12-AS3,0.327,8.28E-02
FGF13,0.149,4.38E-01
FGF14,0.154,3.35E-01
FGF14-AS1,-0.021,9.92E-01
FGF14-AS2,0.252,7.09E-02
FGF14-IT1,0.408,7.22E-02
FGF17,0.758,2.52E-02
FGF2,-0.061,8.32E-01
FGF5,0.087,1.44E-01
FGF9,0.186,1.96E-01
FGFR1,0.049,4.18E-01
FGFR1OP,0.042,4.63E-01
FGFR1OP2,-0.033,8.80E-01
FGFR2,-0.197,1.91E-01
FGFR3,0.011,9.14E-01
FGFRL1,0.208,1.65E-01
FGGY,-0.101,2.52E-01
FGL2,-0.181,3.53E-01
FGR,-0.102,5.25E-01
FH,-0.046,6.74E-01
FHAD1,0.053,3.64E-01
FHIT,-0.106,2.52E-01
FHL1,0.202,1.23E-01
FHL2,0.223,2.25E-01
FHL3,-0.054,3.79E-01
FHL5,0.164,9.00E-01
FHOD1,0.075,1.96E-01
FHOD3,0.331,8.89E-02
FIBCD1,0.033,9.22E-01
FIBIN,-0.028,9.36E-01
FIBP,-0.048,6.23E-01
FICD,-0.069,4.19E-01
FIG4,0.077,2.32E-01
FIGN,0.038,6.69E-01
FIGNL1,-0.054,2.69E-01
FILIP1,0.025,8.07E-01
FILIP1L,0.109,3.37E-01
FIP1L1,-0.010,8.60E-01
FIRRE,-0.099,4.18E-01
FIS1,-0.184,7.85E-02
FITM2,0.097,3.58E-01
FIZ1,0.102,1.67E-01
FJX1,0.091,4.50E-01
FKBP10,-0.040,8.82E-01
FKBP11,0.244,7.61E-02
FKBP14,-0.005,9.87E-01
FKBP15,-0.071,2.84E-01
FKBP1A,0.131,1.85E-01
FKBP1AP1,0.101,6.23E-01
FKBP1AP2,-0.074,6.90E-01
FKBP1B,0.160,3.19E-01
FKBP2,-0.001,9.77E-01
FKBP3,-0.017,9.51E-01
FKBP4,0.057,7.10E-01
FKBP5,-0.228,6.89E-01
FKBP8,0.160,3.77E-01
FKBP9,0.007,9.26E-01
FKBPL,-0.053,7.21E-01
FKRP,0.110,4.21E-01
FKSG29,0.124,2.52E-01
FKTN,-0.090,2.65E-01
FLAD1,-0.060,2.42E-01
FLCN,0.156,2.01E-01
FLG,0.059,2.85E-01
FLI1,-0.125,1.62E-01
FLII,-0.018,5.84E-01
FLJ10038,-0.059,3.73E-01
FLJ12825,0.111,1.67E-01
FLJ20021,0.272,9.71E-02
FLJ23867,0.152,1.71E-01
FLJ27354,-0.149,3.27E-01
FLJ31104,-0.025,9.34E-01
FLJ31356,0.005,7.42E-01
FLJ31662,0.030,2.25E-01
FLJ37453,-0.030,8.71E-01
FLJ41278,0.214,2.24E-01
FLJ42102,-0.033,4.80E-01
FLJ42627,0.174,1.09E-01
FLJ43681,0.057,5.35E-01
FLJ45513,0.030,7.20E-01
FLJ46906,0.116,8.46E-02
FLNA,0.086,9.29E-01
FLNB,-0.167,2.09E-01
FLNC,-0.166,2.99E-01
FLOT1,0.075,3.30E-01
FLOT2,0.064,4.31E-01
FLRT1,-0.051,5.04E-01
FLRT2,0.548,6.34E-02
FLRT3,0.157,2.89E-01
FLT1,0.247,1.71E-01
FLT3,-0.047,7.99E-01
FLVCR1,-0.049,2.79E-01
FLYWCH1,-0.002,8.38E-01
FLYWCH2,0.200,2.99E-01
FMN1,0.261,1.21E-01
FMN2,0.293,6.16E-02
FMNL1,0.154,1.32E-01
FMNL2,-0.237,1.26E-01
FMNL3,-0.046,4.12E-01
FMO10P,0.011,7.83E-01
FMO11P,0.045,3.48E-01
FMO4,-0.171,1.22E-01
