gene_name	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Li_et_al	Das_et_al	Marques-Coelho_MAYO	King_et_al	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
ENSG00000253389	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000253406	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000253477	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000253553	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000253560	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000253629	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000253711	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000253715	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000253875	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000253882	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000253961	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000254035	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000254039	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000254129	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000254314	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000254317	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000254370	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000254391	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000254406	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000254497	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000254533	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000254571	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000254575	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000254590	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000254639	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000254664	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000254701	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000254712	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000254744	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000254756	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000254777	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000254786	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000254818	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ENSG00000254890	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	0	2
ENSG00000254928	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000254929	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000254973	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000255045	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000255085	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000255093	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000255176	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000255202	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000255207	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000255268	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000255301	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000255402	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000255478	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000255519	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ENSG00000255530	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000255550	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000255557	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000255629	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000255686	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000255692	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000255710	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000255730	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000255775	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000256139	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000256181	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000256185	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000256196	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000256306	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000256450	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ENSG00000256514	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000256609	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000256630	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000257027	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000257202	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000257221	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000257225	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000257289	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000257386	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000257434	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000257553	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000257604	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000257680	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ENSG00000257764	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000257767	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000257894	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000258068	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000258072	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000258199	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ENSG00000258407	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000258430	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ENSG00000258500	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000258539	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000258603	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000258615	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ENSG00000258634	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ENSG00000258663	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000258702	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000258745	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000258749	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ENSG00000258768	missing	missing	downregulated	missing	missing	missing	missing	downregulated	missing	0	2
ENSG00000258811	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000258844	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ENSG00000258903	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ENSG00000258904	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000258919	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000258931	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000258945	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000258959	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000259001	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000259007	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000259168	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000259250	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ENSG00000259286	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000259321	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000259326	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000259327	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000259357	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000259366	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000259385	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000259425	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000259433	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000259519	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000259683	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ENSG00000259707	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000259793	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000259840	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000259848	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000259865	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	2	0
ENSG00000259869	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000259882	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ENSG00000259891	missing	missing	downregulated	missing	missing	missing	missing	missing	upregulated	1	1
ENSG00000259924	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000259963	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000259976	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	2	0
ENSG00000260082	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000260122	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000260160	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ENSG00000260163	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000260196	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000260198	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000260212	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000260261	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000260269	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
