gene_name	Annese_et_al	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Marques-Coelho_MSSB_BA44	Li_et_al	Magistry_et_al	Das_et_al	Panitch_et_al	Luo_et_al	van_Rooij_et_al	Fischer_et_al	Marques-Coelho_MAYO	Guennewig_et_al	King_et_al	Marques-Coelho_MSSB_BA10	Marques-Coelho_ROSMAP	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
MRPS18A	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	3
MRPS18C	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
MRPS21	missing	missing	missing	downregulated	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	2
MRPS21P9	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
MRPS22	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
MRPS23	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	2
MRPS25	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
MRPS26	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	1
MRPS27	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	2
MRPS30-DT	missing	missing	missing	downregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	2
MRPS34	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
MRPS35	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	1
MRPS35-DT	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
MRPS6	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	upregulated	missing	4	0
MRPS7	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	1
MRPS9	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	2
MRPS9-AS1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
MRRF	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
MRTFB	downregulated	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	4
MRTO4	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
MS4A14	upregulated	upregulated	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	7	0
MS4A3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
MS4A4A	upregulated	upregulated	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	4	0
MS4A6A	upregulated	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	upregulated	5	0
MS4A7	missing	upregulated	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	5	0
MS4A8	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	downregulated	missing	downregulated	0	5
MSANTD1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	missing	upregulated	missing	missing	missing	missing	downregulated	1	3
MSANTD2-AS1	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	1
MSC	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
MSC-AS1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
MSH2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	2
MSH3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
MSH5	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
MSH6	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	2	0
MSI1	missing	upregulated	missing	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	5	0
MSI2	missing	upregulated	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	3	1
MSL2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	2	0
MSLN	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
MSLNL	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
MSMO1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	1
MSN	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	3	0
MSR1	upregulated	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	upregulated	5	0
MSRB3	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
MSRB3-AS1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	2	0
MST1R	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
MSTN	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
MSTO1	missing	missing	missing	missing	missing	upregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	1
MSX1	missing	upregulated	missing	upregulated	missing	missing	missing	upregulated	upregulated	upregulated	upregulated	missing	upregulated	upregulated	missing	upregulated	missing	upregulated	upregulated	11	0
MSX2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
MT1A	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
MT1DP	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
MT1E	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	3	0
MT1F	upregulated	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	upregulated	missing	missing	missing	upregulated	missing	upregulated	6	0
MT1G	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	upregulated	missing	missing	3	0
MT1H	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	2	0
MT1JP	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	upregulated	missing	missing	missing	upregulated	missing	missing	3	0
MT1L	upregulated	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	6	0
MT1M	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	3	0
MT1X	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
MT2A	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	3	0
MT3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
MTA1	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
MTA1-DT	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
MTA3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
MTATP6P1	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	upregulated	1	2
MTATP6P22	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
MTBP	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
