Gene,AD vs Control: Temporal Cortex - Log2(fold change) - RIN Corrected,AD vs Control: Temporal Cortex - SVA P-value -  RIN corrected,,,
AP2M1,-0.028,7.96E-01,,,
AP2S1,0.090,4.19E-01,,,
AP3B1,-0.023,8.16E-01,,,
AP3B2,-0.068,4.20E-01,,,
AP3D1,0.096,2.71E-01,,,
AP3M1,-0.009,9.82E-01,,,
AP3M2,-0.063,7.57E-01,,,
AP3S1,-0.094,4.19E-01,,,
AP3S2,-0.070,5.13E-01,,,
AP4B1,-0.024,8.19E-01,,,
AP4B1-AS1,-0.040,4.67E-01,,,
AP4E1,-0.008,6.95E-01,,,
AP4M1,-0.017,8.73E-01,,,
AP4S1,-0.050,4.66E-01,,,
AP5B1,0.029,8.06E-01,,,
AP5M1,-0.038,9.65E-01,,,
AP5S1,0.076,5.58E-01,,,
AP5Z1,0.157,3.45E-01,,,
APAF1,-0.050,8.53E-01,,,
APBA1,0.014,6.92E-01,,,
APBA2,0.106,4.13E-01,,,
APBA3,0.114,4.79E-01,,,
APBB1,0.040,8.00E-01,,,
APBB1IP,0.102,3.80E-01,,,
APBB2,0.027,5.92E-01,,,
APBB3,-0.010,8.06E-01,,,
APC,0.021,8.69E-01,,,
APC2,0.285,2.75E-01,,,
APCDD1,0.147,4.66E-01,,,
APEH,0.039,9.90E-01,,,
APEX1,-0.020,6.86E-01,,,
APEX2,-0.005,9.27E-01,,,
APH1A,-0.020,5.13E-01,,,
APH1B,-0.043,8.62E-01,,,
API5,-0.013,8.65E-01,,,
APIP,0.082,6.66E-01,,,
APITD1,-0.024,8.61E-01,,,
APLF,-0.052,4.80E-01,,,
APLN,0.159,6.75E-01,,,
APLNR,0.146,7.76E-01,,,
APLP1,0.144,2.01E-01,,,
APLP2,-0.053,6.17E-01,,,
APMAP,-0.058,5.52E-01,,,
APOA1-AS,0.006,5.79E-01,,,
APOA1BP,0.081,6.94E-01,,,
APOBEC3A,0.027,9.90E-01,,,
APOBEC3D,0.013,9.83E-01,,,
APOBEC4,-0.025,9.14E-01,,,
APOC1,0.051,8.46E-01,,,
APOC2,0.060,7.25E-01,,,
APOD,0.065,4.71E-01,,,
APOE,0.168,6.38E-01,,,
APOL1,-0.041,5.50E-01,,,
APOL2,-0.133,3.59E-01,,,
APOL3,0.019,9.13E-01,,,
APOL4,0.018,8.24E-01,,,
APOL6,0.028,9.89E-01,,,
APOLD1,-0.095,8.48E-01,,,
APOO,-0.023,9.81E-01,,,
APOOL,0.047,4.40E-01,,,
APOPT1,0.020,8.19E-01,,,
APP,-0.052,5.89E-01,,,
APPBP2,-0.054,6.53E-01,,,
APPL1,-0.048,6.81E-01,,,
APPL2,0.020,7.24E-01,,,
APRT,0.037,8.93E-01,,,
APTR,0.055,9.10E-01,,,
APTX,-0.023,9.61E-01,,,
AQP1,0.240,6.24E-01,,,
AQP11,0.007,9.34E-01,,,
AQP3,0.065,7.63E-01,,,
AQP4,-0.101,6.19E-01,,,
AQP4-AS1,-0.029,7.99E-01,,,
AQP6,0.015,9.03E-01,,,
AQP9,0.008,9.64E-01,,,
AQR,-0.028,7.53E-01,,,
ARAF,0.066,4.13E-01,,,
ARAP1,0.163,1.51E-01,,,
ARAP2,0.024,8.39E-01,,,
ARAP3,-0.072,3.70E-01,,,
ARC,0.179,9.48E-01,,,
ARCN1,0.001,9.24E-01,,,
AREL1,0.006,8.12E-01,,,
ARF1,0.002,9.78E-01,,,
ARF1P2,0.063,8.78E-01,,,
ARF3,-0.059,6.09E-01,,,
ARF4,-0.050,3.32E-01,,,
ARF4P2,-0.051,4.86E-01,,,
ARF5,0.017,9.31E-01,,,
ARF6,-0.015,8.84E-01,,,
ARFGAP1,0.136,4.17E-01,,,
ARFGAP2,-0.029,5.12E-01,,,
ARFGAP3,-0.046,4.29E-01,,,
ARFGEF1,-0.009,9.16E-01,,,
ARFGEF2,-0.044,7.81E-01,,,
ARFGEF3,-0.042,4.67E-01,,,
ARFIP1,-0.070,3.17E-01,,,
ARFIP2,0.036,9.36E-01,,,
ARFRP1,0.156,2.69E-01,,,
ARG2,-0.003,9.27E-01,,,
ARGFX,-0.016,9.68E-01,,,
ARGFXP2,-0.061,6.00E-01,,,
ARGLU1,-0.060,2.33E-01,,,
ARHGAP1,0.042,6.34E-01,,,
ARHGAP10,-0.069,9.03E-01,,,
ARHGAP11A,-0.067,4.76E-01,,,
ARHGAP12,-0.051,3.37E-01,,,
ARHGAP15,0.049,9.81E-01,,,
ARHGAP17,0.063,7.29E-01,,,
ARHGAP18,-0.025,8.85E-01,,,
ARHGAP19,-0.102,3.70E-01,,,
ARHGAP20,-0.223,1.45E-01,,,
ARHGAP21,0.040,5.63E-01,,,
ARHGAP22,0.176,1.40E-01,,,
ARHGAP23,0.197,1.45E-01,,,
ARHGAP23P1,0.042,3.63E-01,,,
ARHGAP24,-0.026,8.28E-01,,,
ARHGAP25,0.121,2.69E-01,,,
ARHGAP26,-0.060,6.93E-01,,,
ARHGAP26-IT1,-0.042,8.16E-01,,,
ARHGAP27,0.118,2.65E-01,,,
ARHGAP29,-0.016,8.79E-01,,,
ARHGAP30,0.082,4.34E-01,,,
ARHGAP31,0.131,4.57E-01,,,
ARHGAP32,-0.048,9.23E-01,,,
ARHGAP33,0.074,6.20E-01,,,
ARHGAP35,0.029,4.44E-01,,,
ARHGAP36,-0.031,6.07E-01,,,
ARHGAP39,0.181,3.65E-01,,,
ARHGAP4,0.099,6.11E-01,,,
ARHGAP42,0.089,6.00E-01,,,
ARHGAP42P3,-0.035,7.46E-01,,,
ARHGAP44,-0.090,6.57E-01,,,
ARHGAP5,-0.031,8.79E-01,,,
ARHGAP5-AS1,0.007,7.83E-01,,,
ARHGAP6,-0.037,8.68E-01,,,
ARHGAP9,0.073,3.47E-01,,,
ARHGDIA,0.193,3.71E-01,,,
ARHGDIB,0.062,8.76E-01,,,
ARHGDIG,0.161,3.86E-01,,,
ARHGEF1,0.145,3.47E-01,,,
ARHGEF10,0.108,4.62E-01,,,
ARHGEF10L,0.181,2.00E-01,,,
ARHGEF11,0.021,8.27E-01,,,
ARHGEF12,-0.057,7.61E-01,,,
ARHGEF17,0.130,1.85E-01,,,
ARHGEF18,0.084,3.65E-01,,,
ARHGEF2,0.114,1.85E-01,,,
ARHGEF25,-0.061,8.49E-01,,,
ARHGEF26,0.015,9.90E-01,,,
ARHGEF26-AS1,-0.034,7.62E-01,,,
ARHGEF28,-0.037,8.41E-01,,,
ARHGEF3,-0.108,4.94E-01,,,
ARHGEF33,-0.031,8.02E-01,,,
ARHGEF37,0.152,2.84E-01,,,
ARHGEF39,-0.040,3.42E-01,,,
ARHGEF4,0.127,3.59E-01,,,
ARHGEF40,0.155,2.52E-01,,,
ARHGEF6,0.004,7.36E-01,,,
ARHGEF7,-0.040,5.74E-01,,,
ARHGEF9,-0.143,3.08E-01,,,
ARID1A,0.073,4.18E-01,,,
ARID1B,0.005,7.95E-01,,,
ARID2,-0.009,8.97E-01,,,
ARID4A,-0.049,5.87E-01,,,
ARID4B,0.017,9.14E-01,,,
ARID5A,0.026,8.60E-01,,,
ARID5B,-0.037,9.68E-01,,,
ARIH1,-0.053,5.32E-01,,,
ARIH2,-0.006,9.90E-01,,,
ARIH2OS,0.027,8.27E-01,,,
ARL1,-0.095,4.25E-01,,,
ARL10,0.099,2.07E-01,,,
ARL13B,-0.034,6.64E-01,,,
ARL14EP,-0.096,3.87E-01,,,
ARL15,-0.187,1.40E-01,,,
ARL16,0.037,9.28E-01,,,
ARL17A,0.016,9.52E-01,,,
ARL17B,-0.011,9.70E-01,,,
ARL2,0.102,3.90E-01,,,
ARL2-SNX15,-0.226,5.61E-01,,,
ARL2BP,-0.011,9.77E-01,,,
ARL2BPP10,0.030,9.81E-01,,,
ARL2BPP9,0.031,7.96E-01,,,
ARL3,-0.049,6.73E-01,,,
ARL4A,-0.134,6.64E-01,,,
ARL4C,-0.111,5.44E-01,,,
ARL4D,-0.006,8.14E-01,,,
ARL5A,-0.078,4.87E-01,,,
ARL5AP1,-0.017,9.23E-01,,,
ARL5B,-0.088,4.01E-01,,,
ARL6,-0.084,5.04E-01,,,
ARL6IP1,-0.120,2.93E-01,,,
ARL6IP4,0.092,5.22E-01,,,
ARL6IP5,-0.040,9.48E-01,,,
ARL6IP6,0.047,5.77E-01,,,
ARL8A,0.060,2.29E-01,,,
ARL8B,-0.073,4.86E-01,,,
ARMC1,-0.048,6.31E-01,,,
ARMC10,-0.053,4.94E-01,,,
ARMC10P1,-0.012,9.12E-01,,,
ARMC2,-0.020,6.78E-01,,,
ARMC3,0.011,6.10E-01,,,
ARMC5,0.092,3.23E-01,,,
ARMC6,0.113,4.75E-01,,,
ARMC7,0.099,3.15E-01,,,
ARMC8,-0.077,3.43E-01,,,
ARMC9,-0.020,8.28E-01,,,
ARMCX1,-0.054,3.32E-01,,,
ARMCX2,-0.030,7.53E-01,,,
ARMCX3,-0.066,5.08E-01,,,
ARMCX4,-0.121,3.05E-01,,,
ARMCX5,-0.100,3.62E-01,,,
ARMCX5-GPRASP2,-0.024,9.56E-01,,,
ARMCX6,-0.034,5.97E-01,,,
ARMT1,-0.048,8.56E-01,,,
ARNT,-0.039,5.90E-01,,,
ARNT2,-0.054,4.31E-01,,,
ARNTL,-0.013,8.80E-01,,,
ARNTL2,-0.145,1.47E-01,,,
ARPC1A,-0.011,9.43E-01,,,
ARPC1B,0.130,7.21E-01,,,
ARPC2,-0.015,8.06E-01,,,
ARPC3,0.008,9.14E-01,,,
ARPC3P1,0.054,4.93E-01,,,
ARPC4,-0.007,9.52E-01,,,
ARPC4-TTLL3,-0.001,9.46E-01,,,
ARPC5,-0.024,7.15E-01,,,
ARPC5L,-0.018,8.78E-01,,,
ARPIN,-0.009,8.39E-01,,,
ARPP19,-0.067,4.34E-01,,,
ARPP21,-0.129,2.79E-01,,,
ARRB1,0.050,3.25E-01,,,
ARRB2,0.022,4.22E-01,,,
ARRDC1,0.160,2.86E-01,,,
ARRDC1-AS1,0.104,3.75E-01,,,
ARRDC2,0.128,3.13E-01,,,
ARRDC3,-0.126,4.71E-01,,,
ARRDC3-AS1,0.003,7.67E-01,,,
ARRDC4,0.035,9.49E-01,,,
ARSA,0.094,5.03E-01,,,
ARSB,-0.018,9.90E-01,,,
ARSD,0.024,9.56E-01,,,
ARSDP1,-0.060,8.20E-01,,,
ARSF,0.006,7.82E-01,,,
ARSG,-0.088,3.90E-01,,,
ARSJ,-0.023,5.33E-01,,,
ARSK,0.001,9.19E-01,,,
ART3,0.019,7.26E-01,,,
ARV1,-0.050,6.57E-01,,,
ARVCF,0.134,6.36E-01,,,
AS3MT,0.000,9.75E-01,,,
ASAH1,-0.050,5.31E-01,,,
ASAH2B,-0.181,2.45E-01,,,
ASAP1,-0.046,4.43E-01,,,
ASAP1-IT1,-0.017,5.14E-01,,,
ASAP1-IT2,-0.031,4.33E-01,,,
ASAP2,0.012,9.97E-01,,,
ASAP3,0.048,9.76E-01,,,
ASB1,0.039,5.55E-01,,,
ASB11,0.011,8.74E-01,,,
ASB13,0.008,9.90E-01,,,
ASB14,0.002,8.59E-01,,,
ASB16-AS1,-0.027,9.88E-01,,,
ASB2,-0.087,5.34E-01,,,
ASB3,-0.125,2.38E-01,,,
ASB4,-0.044,9.55E-01,,,
ASB6,0.064,5.45E-01,,,
ASB7,-0.029,7.00E-01,,,
ASB8,-0.030,8.69E-01,,,
ASCC1,-0.008,9.27E-01,,,
ASCC2,0.078,6.62E-01,,,
ASCC3,-0.029,8.79E-01,,,
ASCL1,0.021,8.39E-01,,,
ASF1A,-0.067,2.53E-01,,,
ASH1L,-0.018,9.97E-01,,,
ASH1L-AS1,0.024,9.84E-01,,,
ASH2L,-0.056,3.14E-01,,,
ASIC1,0.093,3.67E-01,,,
ASIC2,-0.132,2.83E-01,,,
ASIC3,0.054,7.22E-01,,,
ASIC4,0.023,1.00E+00,,,
ASL,0.051,9.72E-01,,,
ASLP1,-0.003,9.60E-01,,,
ASMTL,-0.023,7.27E-01,,,
ASMTL-AS1,0.087,6.12E-01,,,
ASNA1,0.037,9.06E-01,,,
ASNS,-0.082,3.86E-01,,,
ASNSD1,-0.052,8.44E-01,,,
ASPA,0.106,6.65E-01,,,
ASPDH,0.197,3.83E-01,,,
ASPH,-0.156,1.40E-01,,,
ASPHD1,0.137,6.68E-01,,,
ASPHD2,0.015,7.45E-01,,,
ASPRV1,0.044,5.12E-01,,,
ASPSCR1,0.159,4.03E-01,,,
ASRGL1,-0.030,5.85E-01,,,
ASS1,-0.096,3.59E-01,,,
ASS1P10,-0.017,9.88E-01,,,
ASTE1,0.018,8.55E-01,,,
ASTN1,-0.053,5.85E-01,,,
ASTN2,-0.032,5.78E-01,,,
ASUN,0.017,8.82E-01,,,
ASXL1,0.042,3.05E-01,,,
ASXL2,0.001,8.98E-01,,,
ASXL3,-0.069,4.35E-01,,,
ATAD1,-0.058,5.11E-01,,,
ATAD2,-0.085,4.55E-01,,,
ATAD2B,-0.013,6.71E-01,,,
ATAD3A,0.191,4.49E-01,,,
ATAD3B,0.083,8.26E-01,,,
ATAD3C,0.067,4.26E-01,,,
ATAD5,-0.027,8.47E-01,,,
ATAT1,0.024,7.79E-01,,,
ATCAY,-0.055,4.41E-01,,,
ATE1,-0.059,3.37E-01,,,
ATE1-AS1,0.136,7.68E-01,,,
ATF1,-0.024,8.51E-01,,,
ATF1P1,0.035,9.55E-01,,,
ATF2,-0.047,7.68E-01,,,
ATF3,-0.073,7.26E-01,,,
ATF4,0.028,8.62E-01,,,
ATF5,0.097,3.59E-01,,,
ATF6,-0.020,7.91E-01,,,
ATF6B,0.060,4.82E-01,,,
ATF7,-0.007,9.53E-01,,,
ATF7IP,-0.033,7.51E-01,,,
ATF7IP2,-0.162,1.85E-01,,,
ATG10,0.102,6.11E-01,,,
ATG101,0.086,3.05E-01,,,
ATG12,-0.045,6.59E-01,,,
ATG12P1,0.046,6.31E-01,,,
ATG12P2,-0.035,6.59E-01,,,
ATG13,-0.036,6.56E-01,,,
ATG14,-0.013,7.60E-01,,,
ATG16L1,-0.115,3.37E-01,,,
ATG16L2,0.127,1.55E-01,,,
ATG2A,0.075,7.37E-01,,,
ATG2B,-0.054,7.13E-01,,,
ATG3,-0.029,5.92E-01,,,
ATG4A,-0.041,7.55E-01,,,
ATG4B,0.120,2.01E-01,,,
ATG4C,0.084,3.47E-01,,,
ATG4D,0.185,2.34E-01,,,
ATG5,-0.061,5.72E-01,,,
ATG7,-0.045,3.95E-01,,,
ATG9A,0.065,3.97E-01,,,
ATHL1,0.007,8.44E-01,,,
ATIC,0.051,7.48E-01,,,
ATL1,-0.095,3.86E-01,,,
ATL2,-0.111,2.77E-01,,,
ATL3,-0.055,6.97E-01,,,
ATM,0.042,5.70E-01,,,
ATMIN,-0.023,9.39E-01,,,
ATN1,0.168,3.00E-01,,,
ATOH8,0.179,2.88E-01,,,
ATOX1,0.002,9.97E-01,,,
ATP10A,0.069,5.83E-01,,,
ATP10B,0.018,8.32E-01,,,
ATP10D,-0.025,9.92E-01,,,
ATP11A,0.105,2.68E-01,,,
ATP11A-AS1,0.054,4.86E-01,,,
ATP11B,-0.015,8.62E-01,,,
ATP11C,-0.021,1.00E+00,,,
ATP13A1,0.178,1.97E-01,,,
ATP13A2,0.124,5.18E-01,,,
ATP13A3,-0.059,3.62E-01,,,
ATP13A4,-0.113,4.99E-01,,,
ATP1A1,-0.101,7.71E-01,,,
ATP1A1-AS1,0.124,2.34E-01,,,
ATP1A2,-0.030,8.86E-01,,,
ATP1A3,-0.117,6.98E-01,,,
ATP1B1,-0.077,6.63E-01,,,
ATP1B1P1,-0.074,3.48E-01,,,
ATP1B2,0.052,9.90E-01,,,
ATP1B3,-0.022,9.87E-01,,,
ATP2A2,-0.026,8.77E-01,,,
ATP2B1,-0.127,4.84E-01,,,
ATP2B2,-0.002,9.90E-01,,,
ATP2B3,-0.004,9.59E-01,,,
ATP2B4,-0.006,9.04E-01,,,
ATP2C1,-0.018,7.99E-01,,,
ATP5A1,-0.075,5.27E-01,,,
ATP5B,-0.021,9.36E-01,,,
ATP5C1,-0.078,2.17E-01,,,
ATP5D,0.282,3.39E-01,,,
ATP5E,-0.018,6.99E-01,,,
ATP5F1,-0.061,4.34E-01,,,
ATP5F1P1,0.047,6.34E-01,,,
ATP5G1,-0.007,9.44E-01,,,
ATP5G2,0.002,8.26E-01,,,
ATP5G2P3,0.134,2.82E-01,,,
ATP5G3,-0.014,8.08E-01,,,
ATP5H,-0.075,3.09E-01,,,
ATP5HP4,-0.014,8.23E-01,,,
ATP5I,0.033,9.08E-01,,,
ATP5J,-0.047,7.69E-01,,,
ATP5J2,-0.022,9.84E-01,,,
ATP5J2-PTCD1,0.277,5.91E-01,,,
ATP5L,-0.034,6.97E-01,,,
ATP5O,-0.034,7.22E-01,,,
ATP5S,-0.069,5.06E-01,,,
ATP5SL,0.036,8.25E-01,,,
ATP6,0.054,8.94E-01,,,
ATP6AP1,0.013,9.74E-01,,,
ATP6AP1L,0.013,9.55E-01,,,
ATP6AP2,-0.096,3.05E-01,,,
ATP6V0A1,-0.066,5.33E-01,,,
ATP6V0A2,-0.009,6.74E-01,,,
ATP6V0B,0.066,5.05E-01,,,
ATP6V0C,0.077,6.49E-01,,,
ATP6V0D1,0.003,9.38E-01,,,
ATP6V0E1,0.007,9.90E-01,,,
ATP6V0E1P1,0.067,9.84E-01,,,
ATP6V0E2,0.042,9.28E-01,,,
ATP6V0E2-AS1,0.037,7.47E-01,,,
ATP6V1A,-0.108,5.71E-01,,,
ATP6V1B2,-0.115,6.32E-01,,,
ATP6V1C1,-0.095,4.94E-01,,,
ATP6V1D,-0.059,6.86E-01,,,
ATP6V1E1,-0.079,4.13E-01,,,
ATP6V1E2,0.012,7.57E-01,,,
ATP6V1F,0.034,5.84E-01,,,
ATP6V1G1,-0.067,4.46E-01,,,
ATP6V1G1P4,-0.067,6.53E-01,,,
ATP6V1G1P7,-0.057,8.21E-01,,,
ATP6V1G2,-0.111,6.05E-01,,,
ATP6V1G2-DDX39B,-0.164,7.50E-01,,,
ATP6V1H,-0.126,3.09E-01,,,
ATP7A,-0.007,9.62E-01,,,
ATP7B,0.024,9.20E-01,,,
ATP8,0.010,9.62E-01,,,
ATP8A1,-0.118,6.53E-01,,,
ATP8A2,-0.097,5.90E-01,,,
ATP8A2P2,-0.060,9.28E-01,,,
ATP8B1,-0.027,5.76E-01,,,
ATP8B2,0.022,8.21E-01,,,
ATP8B4,0.065,5.41E-01,,,
ATP9A,-0.030,7.88E-01,,,
ATP9B,-0.052,5.26E-01,,,
ATPAF1,-0.088,5.92E-01,,,
ATPAF2,0.062,2.48E-01,,,
ATPIF1,-0.009,8.72E-01,,,
ATR,-0.041,5.20E-01,,,
ATRAID,-0.023,9.48E-01,,,
ATRIP,-0.035,6.61E-01,,,
ATRN,-0.057,5.84E-01,,,
ATRNL1,-0.065,7.14E-01,,,
ATRX,-0.034,8.04E-01,,,
ATXN1,-0.055,3.45E-01,,,
ATXN10,-0.074,2.51E-01,,,
ATXN1L,0.055,5.02E-01,,,
ATXN2,0.018,8.39E-01,,,
ATXN2L,0.109,4.19E-01,,,
ATXN3,-0.082,3.70E-01,,,
ATXN7,-0.031,6.60E-01,,,
ATXN7L1,0.018,7.94E-01,,,
ATXN7L2,0.196,1.51E-01,,,
ATXN7L3,0.012,9.20E-01,,,
ATXN7L3B,-0.083,5.17E-01,,,
AUH,-0.079,4.00E-01,,,
AUP1,0.088,2.01E-01,,,
AURKAIP1,0.140,5.33E-01,,,
AURKAPS1,0.004,9.93E-01,,,
AURKAPS2,0.075,5.75E-01,,,
AUTS2,0.034,6.81E-01,,,
AVEN,0.015,9.10E-01,,,
AVIL,0.046,9.59E-01,,,
AVL9,-0.053,5.05E-01,,,
AVPI1,0.029,6.04E-01,,,
AXIN1,0.108,4.34E-01,,,
AXIN2,-0.008,6.63E-01,,,
AXL,-0.029,9.83E-01,,,
AZGP1,0.186,3.82E-01,,,
AZGP1P1,0.024,7.70E-01,,,
AZI2,-0.033,6.22E-01,,,
AZIN1,-0.080,3.00E-01,,,
AZIN2,0.013,8.89E-01,,,
B2M,-0.030,7.24E-01,,,
B3GALNT1,-0.110,4.23E-01,,,
B3GALNT1P1,0.009,9.00E-01,,,
B3GALNT2,-0.029,5.36E-01,,,
B3GALT1,-0.069,6.58E-01,,,
B3GALT2,0.015,8.80E-01,,,
B3GALT4,0.074,3.27E-01,,,
B3GALT5,-0.002,6.64E-01,,,
B3GALT5-AS1,0.032,2.55E-01,,,
B3GALT6,0.044,6.65E-01,,,
B3GALTL,0.046,3.78E-01,,,
B3GAT1,0.073,4.01E-01,,,
B3GAT2,0.133,3.67E-01,,,
B3GAT3,0.150,2.84E-01,,,
B3GNT2,-0.064,3.48E-01,,,
B3GNT4,0.036,9.93E-01,,,
B3GNT5,-0.098,4.64E-01,,,
B3GNT7,0.002,8.12E-01,,,
B3GNT9,0.125,2.01E-01,,,
B3GNTL1,0.038,9.12E-01,,,
B4GALNT1,0.024,8.13E-01,,,
B4GALNT3,0.156,2.17E-01,,,
B4GALNT4,0.216,2.46E-01,,,
B4GALT1,-0.005,9.43E-01,,,
B4GALT2,0.084,4.04E-01,,,
B4GALT3,0.031,6.62E-01,,,
B4GALT4,-0.046,5.40E-01,,,
B4GALT5,-0.024,8.67E-01,,,
B4GALT6,-0.103,6.22E-01,,,
B4GALT7,0.160,2.83E-01,,,
B4GAT1,-0.013,8.96E-01,,,
B9D1,-0.008,9.28E-01,,,
B9D2,0.104,4.41E-01,,,
bA255A11.4,0.001,7.30E-01,,,
BAALC,-0.093,2.33E-01,,,
BAALC-AS1,0.031,8.78E-01,,,
BAATP1,0.000,9.25E-01,,,
BABAM1,0.060,4.95E-01,,,
BACE1,0.058,2.01E-01,,,
BACE1-AS,0.054,7.30E-01,,,
BACE2,0.098,3.07E-01,,,
BACH1,-0.029,8.99E-01,,,
BACH2,-0.021,6.55E-01,,,
BAD,0.254,3.46E-01,,,
BAG1,0.023,9.79E-01,,,
BAG2,-0.124,4.94E-01,,,
BAG3,0.219,8.66E-01,,,
BAG4,-0.093,6.83E-01,,,
BAG5,-0.065,3.97E-01,,,
BAG6,0.063,4.84E-01,,,
BAHCC1,0.165,2.01E-01,,,
BAHD1,0.021,9.90E-01,,,
BAIAP2,0.167,2.69E-01,,,
BAIAP2-AS1,0.023,8.97E-01,,,
BAIAP3,0.086,9.37E-01,,,
BAK1,0.065,8.93E-01,,,
BAMBI,-0.005,8.24E-01,,,
BANF1,0.053,8.66E-01,,,
BANF1P3,-0.084,6.71E-01,,,
BANP,0.103,4.08E-01,,,
BAP1,0.049,5.10E-01,,,
BARD1,0.019,8.81E-01,,,
BASP1,-0.103,6.29E-01,,,
BATF3,0.046,8.50E-01,,,
BAX,0.069,3.48E-01,,,
BAZ1A,0.007,8.95E-01,,,
BAZ1B,0.006,9.89E-01,,,
BAZ2A,0.168,2.38E-01,,,
BAZ2B,-0.045,7.38E-01,,,
BBIP1,-0.053,5.42E-01,,,
BBOX1,-0.192,2.89E-01,,,
BBOX1-AS1,0.104,2.97E-01,,,
BBS1,-0.022,9.31E-01,,,
BBS10,-0.080,5.31E-01,,,
BBS12,-0.019,9.62E-01,,,
BBS2,-0.078,6.22E-01,,,
BBS4,-0.059,3.73E-01,,,
BBS5,0.103,3.79E-01,,,
BBS7,-0.084,4.11E-01,,,
BBS9,0.020,5.55E-01,,,
BBX,-0.003,8.19E-01,,,
BCAM,0.370,1.55E-01,,,
BCAN,0.131,3.15E-01,,,
BCAP29,-0.072,4.17E-01,,,
BCAP31,0.020,8.75E-01,,,
BCAR1,0.284,1.85E-01,,,
BCAR3,0.120,3.80E-01,,,
BCAS1,0.214,3.72E-01,,,
BCAS2,-0.090,2.53E-01,,,
BCAS2P1,0.231,1.98E-01,,,
BCAS3,-0.041,7.74E-01,,,
BCAS4,-0.020,8.21E-01,,,
BCAT1,-0.050,7.68E-01,,,
BCAT2,0.042,5.02E-01,,,
BCCIP,-0.020,9.80E-01,,,
BCDIN3D,-0.003,9.81E-01,,,
BCDIN3D-AS1,-0.018,9.14E-01,,,
BCHE,0.010,8.89E-01,,,
BCKDHA,0.053,9.38E-01,,,
BCKDHB,-0.091,4.53E-01,,,
BCKDK,0.117,5.17E-01,,,
BCL10,-0.017,5.11E-01,,,
BCL11A,-0.057,4.33E-01,,,
BCL11B,-0.031,7.10E-01,,,
BCL2,-0.050,7.37E-01,,,
BCL2A1,-0.049,9.48E-01,,,
BCL2L1,0.052,3.81E-01,,,
BCL2L11,-0.005,8.52E-01,,,
BCL2L13,-0.042,9.90E-01,,,
BCL2L2,-0.054,4.10E-01,,,
BCL2L2-PABPN1,-0.019,8.88E-01,,,
BCL6,-0.054,7.59E-01,,,
BCL7A,-0.039,1.00E+00,,,
BCL7B,0.094,2.73E-01,,,
BCL7C,0.229,1.76E-01,,,
BCL9,0.070,1.75E-01,,,
BCL9L,0.197,1.64E-01,,,
BCLAF1,-0.067,3.34E-01,,,
BCO1,0.051,7.34E-01,,,
BCO2,0.022,3.35E-01,,,
BCOR,0.137,4.79E-01,,,
BCORL1,0.041,7.18E-01,,,
BCR,0.079,5.51E-01,,,
BCS1L,0.036,4.57E-01,,,
BCYRN1,0.057,5.12E-01,,,
BCYRN1P1,-0.032,9.55E-01,,,
BCYRN1P3,0.060,9.88E-01,,,
BDH1,-0.020,8.10E-01,,,
BDH2,-0.144,2.82E-01,,,
BDNF,-0.212,2.00E-01,,,
BDNF-AS,-0.058,5.26E-01,,,
BDP1,-0.041,5.79E-01,,,
BEAN1,0.015,9.87E-01,,,
BECN1,-0.096,2.01E-01,,,
BECN1P2,0.021,9.15E-01,,,
BEGAIN,0.107,7.61E-01,,,
BEND3P3,0.061,4.79E-01,,,
BEND5,0.000,7.18E-01,,,
BEND6,-0.004,9.47E-01,,,
BEND7,0.003,6.61E-01,,,
BEND7P1,-0.008,6.01E-01,,,
BEST1,0.090,6.36E-01,,,
BEST3,-0.012,8.51E-01,,,
BET1,-0.071,6.58E-01,,,
BET1L,-0.035,7.17E-01,,,
BEX1,-0.210,2.53E-01,,,
BEX2,-0.155,3.28E-01,,,
BEX4,-0.092,3.04E-01,,,
BEX5,-0.142,4.57E-01,,,
BFAR,-0.023,8.57E-01,,,
BGN,0.106,8.70E-01,,,
BHLHB9,-0.044,8.74E-01,,,
BHLHE22,-0.047,9.13E-01,,,
BHLHE40,0.004,9.93E-01,,,
BHLHE40-AS1,-0.002,7.55E-01,,,
BHLHE41,0.009,5.56E-01,,,
BHMT2,-0.021,8.46E-01,,,
BICC1,-0.054,5.64E-01,,,
BICD1,-0.015,9.06E-01,,,
BICD2,0.039,5.03E-01,,,
BID,-0.038,9.79E-01,,,
BIN1,0.185,1.89E-01,,,
BIN2,0.080,5.30E-01,,,
BIN3,0.065,4.70E-01,,,
BIRC2,-0.078,2.82E-01,,,
BIRC3,-0.055,7.61E-01,,,
BIRC6,-0.024,5.45E-01,,,
BIRC6-AS2,-0.050,6.75E-01,,,
BISPR,0.079,2.75E-01,,,
BIVM,-0.087,3.02E-01,,,
BIVM-ERCC5,-0.027,7.98E-01,,,
BLCAP,0.011,7.68E-01,,,
BLID,0.125,2.46E-01,,,
BLM,0.039,9.51E-01,,,
BLMH,-0.012,8.52E-01,,,
BLNK,0.061,8.10E-01,,,
BLOC1S1,0.054,5.91E-01,,,
BLOC1S1-RDH5,-0.050,5.32E-01,,,
BLOC1S2,-0.043,6.79E-01,,,
BLOC1S3,0.029,9.82E-01,,,
BLOC1S4,0.023,9.95E-01,,,
BLOC1S5,0.037,9.85E-01,,,
BLOC1S5-TXNDC5,-0.167,7.06E-01,,,
