Gene,logFC,logCPM,PValue,FDR,UP/DOWN,DE Score
ADD3,0.21,8.6,1.1E-01,1.8E-01,1,0.01
ADGB,1.40,0.2,1.9E-02,4.1E-02,1,0.06
ADH1B,1.64,4.4,3.5E-06,2.3E-05,1,0.25
ADH5,-0.04,6.6,7.3E-01,8.0E-01,0,0.00
ADHFE1,-0.57,4.3,1.7E-03,5.1E-03,0,0.04
ADI1,-0.05,6.1,6.4E-01,7.2E-01,0,0.00
ADIPOR1,-0.10,6.8,1.5E-01,2.3E-01,0,0.00
ADIPOR2,0.71,8.6,4.4E-07,3.6E-06,1,0.13
ADK,-0.08,4.4,4.2E-01,5.2E-01,0,0.00
ADM,0.63,4.9,5.1E-02,9.3E-02,1,0.02
ADM5,0.28,0.9,2.5E-01,3.4E-01,1,0.00
ADNP,0.19,6.6,2.9E-02,5.9E-02,1,0.01
ADNP2,-0.09,4.5,4.1E-01,5.1E-01,0,0.00
ADO,0.09,5.4,3.9E-01,4.9E-01,1,0.00
ADORA1,-0.53,6.6,3.0E-05,1.5E-04,0,0.07
ADORA2B,-0.28,3.2,1.2E-01,1.9E-01,0,0.01
ADORA3,0.20,5.5,3.5E-01,4.5E-01,1,0.00
ADPGK,-0.02,4.9,8.4E-01,8.9E-01,0,0.00
ADPRH,0.60,3.2,5.6E-05,2.6E-04,1,0.07
ADPRHL1,-0.26,2.0,1.1E-01,1.8E-01,0,0.01
ADPRHL2,0.06,5.3,5.5E-01,6.5E-01,1,0.00
ADPRM,0.12,2.6,3.8E-01,4.8E-01,1,0.00
ADRA1A,-0.39,3.5,9.1E-02,1.5E-01,0,0.01
ADRA1B,-1.41,2.5,2.0E-07,1.7E-06,0,0.27
ADRA1D,-1.63,2.7,5.2E-07,4.2E-06,0,0.29
ADRA2A,-0.87,2.3,5.7E-07,4.5E-06,0,0.16
ADRA2B,1.27,2.7,4.9E-07,3.9E-06,1,0.23
ADRA2C,0.60,3.5,9.6E-05,4.2E-04,1,0.07
ADRB1,-0.24,2.5,2.3E-01,3.2E-01,0,0.00
ADRB2,0.11,2.4,5.7E-01,6.6E-01,1,0.00
ADRBK1,-0.19,7.4,4.0E-02,7.7E-02,0,0.01
ADRBK2,-1.05,5.6,1.8E-08,2.2E-07,0,0.23
ADRM1,-0.08,6.2,3.9E-01,4.9E-01,0,0.00
ADSL,-0.06,4.8,5.6E-01,6.5E-01,0,0.00
ADSS,-0.22,5.5,1.5E-02,3.3E-02,0,0.01
ADSSL1,-0.12,3.3,5.4E-01,6.3E-01,0,0.00
ADTRP,-1.25,-0.2,5.9E-04,2.0E-03,0,0.11
AEBP1,1.25,7.9,6.9E-09,9.1E-08,1,0.29
AEBP2,0.44,4.4,2.9E-04,1.1E-03,1,0.04
AEN,0.38,4.4,2.8E-02,5.6E-02,1,0.02
AES,-0.09,8.9,4.3E-01,5.3E-01,0,0.00
AFAP1,-0.23,5.1,2.5E-02,5.1E-02,0,0.01
AFAP1L1,1.06,3.7,1.5E-13,8.2E-12,1,0.35
AFAP1L2,0.52,6.0,8.0E-05,3.6E-04,1,0.06
AFF1,0.71,6.2,9.5E-09,1.2E-07,1,0.16
AFF3,-0.77,4.9,2.4E-07,2.1E-06,0,0.15
AFF4,0.19,6.7,8.9E-02,1.5E-01,1,0.01
AFG3L2,-0.68,5.2,3.1E-09,4.6E-08,0,0.17
AFMID,0.14,5.6,3.3E-01,4.3E-01,1,0.00
AFTPH,0.21,5.6,4.8E-02,8.9E-02,1,0.01
AGA,-0.04,4.0,7.5E-01,8.1E-01,0,0.00
AGAP1,0.13,8.3,3.1E-01,4.1E-01,1,0.00
AGAP2,-1.19,7.6,2.5E-10,4.9E-09,0,0.33
AGAP2-AS1,1.47,1.8,8.9E-13,3.8E-11,1,0.49
AGAP3,-0.32,8.1,2.7E-03,7.5E-03,0,0.02
AGAP4,0.63,-0.1,1.4E-01,2.1E-01,1,0.01
AGAP6,0.42,2.2,4.1E-03,1.1E-02,1,0.03
AGAP8,0.19,0.0,7.0E-01,7.8E-01,1,0.00
AGBL2,0.85,0.6,4.8E-02,8.9E-02,1,0.03
AGBL3,0.11,1.6,5.8E-01,6.7E-01,1,0.00
AGBL4,-1.64,2.3,7.8E-12,2.4E-10,0,0.52
AGBL5,-0.08,4.8,2.7E-01,3.7E-01,0,0.00
AGER,0.58,1.6,1.3E-02,3.0E-02,1,0.03
AGFG1,0.12,6.5,1.1E-01,1.8E-01,1,0.00
AGFG2,0.12,6.0,3.5E-01,4.5E-01,1,0.00
AGGF1,-0.11,5.3,1.9E-01,2.8E-01,0,0.00
AGK,-0.75,4.9,9.5E-11,2.1E-09,0,0.22
AGL,-0.61,4.4,1.5E-04,6.0E-04,0,0.07
AGMAT,-1.43,0.8,5.9E-10,1.0E-08,0,0.38
AGMO,-0.07,1.0,8.4E-01,8.8E-01,0,0.00
AGO1,0.16,6.2,5.7E-02,1.0E-01,1,0.01
AGO2,0.69,3.7,2.5E-06,1.7E-05,1,0.11
AGO3,0.57,5.0,1.6E-07,1.5E-06,1,0.11
AGO4,0.37,5.1,1.7E-04,6.7E-04,1,0.04
AGPAT1,-0.34,6.6,5.8E-06,3.6E-05,0,0.05
AGPAT2,0.25,4.0,1.2E-01,1.9E-01,1,0.01
AGPAT3,-0.26,7.7,3.0E-03,8.3E-03,0,0.02
AGPAT4,-0.44,6.1,2.2E-04,8.7E-04,0,0.05
AGPAT5,0.00,5.9,1.0E+00,1.0E+00,1,0.00
AGPAT6,0.17,6.2,1.6E-02,3.4E-02,1,0.01
AGPAT9,-0.09,0.8,7.1E-01,7.8E-01,0,0.00
AGPS,0.05,5.2,6.1E-01,7.0E-01,1,0.00
AGRN,0.32,7.0,2.6E-02,5.4E-02,1,0.01
AGT,-0.21,8.9,1.8E-01,2.7E-01,0,0.00
AGTPBP1,-0.24,5.8,8.9E-02,1.5E-01,0,0.01
AGTR1,0.97,0.2,1.2E-02,2.8E-02,1,0.05
AGTRAP,0.28,4.8,5.9E-02,1.1E-01,1,0.01
AHCTF1,0.27,5.3,3.0E-03,8.2E-03,1,0.02
AHCY,-0.14,6.5,1.1E-01,1.8E-01,0,0.00
AHCYL1,-0.14,9.3,3.5E-01,4.5E-01,0,0.00
AHCYL2,-0.05,6.6,6.6E-01,7.4E-01,0,0.00
AHDC1,0.02,5.9,8.2E-01,8.7E-01,1,0.00
AHI1,0.19,4.5,1.8E-01,2.7E-01,1,0.00
AHNAK,1.01,10.1,5.7E-06,3.5E-05,1,0.15
AHNAK2,-0.20,5.2,3.7E-01,4.7E-01,0,0.00
AHR,0.62,4.3,4.4E-04,1.6E-03,1,0.06
AHRR,-1.07,1.6,1.1E-05,6.3E-05,0,0.15
AHSA1,0.50,7.9,3.7E-02,7.1E-02,1,0.02
AHSA2,0.91,5.7,2.5E-07,2.2E-06,1,0.17
AIDA,0.40,5.3,2.8E-04,1.1E-03,1,0.04
AIF1,-0.56,4.8,1.8E-02,3.8E-02,0,0.03
AIF1L,0.26,8.7,1.1E-01,1.8E-01,1,0.01
AIFM2,0.07,3.9,6.2E-01,7.1E-01,1,0.00
AIFM3,0.11,6.8,4.9E-01,5.9E-01,1,0.00
AIG1,-0.44,5.6,1.1E-08,1.3E-07,0,0.10
AIM1,0.79,2.1,2.6E-05,1.3E-04,1,0.10
AIM2,-0.74,-0.1,2.1E-02,4.4E-02,0,0.03
AIMP1,0.05,5.3,5.1E-01,6.1E-01,1,0.00
AIMP2,-0.47,3.2,2.2E-04,8.6E-04,0,0.05
AIP,0.29,6.7,2.6E-02,5.4E-02,1,0.01
AIRE,-0.67,0.1,3.0E-02,6.0E-02,0,0.03
AJAP1,-0.63,5.6,6.7E-06,4.1E-05,0,0.09
AJUBA,1.33,2.9,3.5E-07,2.9E-06,1,0.25
AK1,0.47,4.8,8.8E-05,3.9E-04,1,0.05
AK2,0.26,6.0,1.5E-03,4.6E-03,1,0.02
AK3,-0.04,6.0,7.7E-01,8.3E-01,0,0.00
AK4,-0.12,6.2,3.9E-01,4.9E-01,0,0.00
AK5,-1.03,8.0,1.2E-11,3.5E-10,0,0.32
AK7,0.19,2.6,5.7E-01,6.6E-01,1,0.00
AK8,-0.74,1.7,1.5E-04,6.2E-04,0,0.08
AK9,0.43,3.9,3.1E-04,1.1E-03,1,0.04
AKAP1,0.12,6.4,2.9E-01,3.9E-01,1,0.00
AKAP10,0.08,5.2,3.6E-01,4.6E-01,1,0.00
AKAP11,-0.31,7.2,1.0E-02,2.4E-02,0,0.02
AKAP12,-0.25,7.0,1.2E-01,1.9E-01,0,0.01
AKAP13,0.23,5.9,8.3E-02,1.4E-01,1,0.01
AKAP3,0.05,2.4,8.1E-01,8.6E-01,1,0.00
AKAP5,-1.54,3.9,3.3E-10,6.2E-09,0,0.42
AKAP6,-0.35,7.1,2.0E-03,5.8E-03,0,0.03
AKAP7,-0.26,4.1,3.4E-02,6.7E-02,0,0.01
AKAP8,0.51,5.0,9.0E-07,6.8E-06,1,0.09
AKAP8L,0.29,6.1,3.9E-03,1.0E-02,1,0.02
AKAP9,0.08,5.9,4.0E-01,5.0E-01,1,0.00
AKIP1,-0.10,4.1,2.4E-01,3.4E-01,0,0.00
AKIRIN1,-0.07,6.4,3.9E-01,4.9E-01,0,0.00
AKIRIN2,-0.19,5.6,6.4E-02,1.1E-01,0,0.01
AKNA,0.30,5.3,1.4E-03,4.2E-03,1,0.02
AKNAD1,0.95,0.2,1.6E-03,4.9E-03,1,0.07
AKR1A1,-0.35,5.7,1.9E-02,4.0E-02,0,0.02
AKR1B1,0.01,6.8,8.8E-01,9.2E-01,1,0.00
AKR1C1,1.62,4.7,4.8E-09,6.7E-08,1,0.39
AKR1C2,1.79,4.1,3.1E-10,5.9E-09,1,0.49
AKR1C3,1.04,5.1,5.6E-07,4.5E-06,1,0.19
AKR1E2,0.55,0.9,5.1E-02,9.3E-02,1,0.02
AKR7A2,-0.16,5.6,1.2E-01,1.9E-01,0,0.00
AKR7A3,-0.47,1.2,7.4E-03,1.8E-02,0,0.03
AKT1,0.18,6.8,3.6E-02,7.0E-02,1,0.01
AKT1S1,0.27,5.9,3.4E-03,9.4E-03,1,0.02
AKT2,0.21,6.6,2.1E-03,6.2E-03,1,0.02
AKT3,-0.07,6.4,6.1E-01,7.0E-01,0,0.00
AKTIP,0.06,6.3,3.4E-01,4.4E-01,1,0.00
AL031663.2,1.80,0.3,1.9E-08,2.2E-07,1,0.40
AL078585.1,0.64,1.1,3.8E-02,7.3E-02,1,0.02
AL161915.1,0.20,2.7,1.2E-01,1.9E-01,1,0.00
AL353791.1,0.33,-0.3,6.2E-01,7.1E-01,1,0.00
AL357673.1,0.00,2.5,9.7E-01,9.8E-01,1,0.00
AL591479.1,-1.11,0.5,7.9E-04,2.6E-03,0,0.10
AL627309.1,-0.03,0.3,9.0E-01,9.3E-01,0,0.00
ALAD,0.12,7.9,2.1E-01,2.9E-01,1,0.00
ALAS1,-0.33,5.4,1.1E-03,3.6E-03,0,0.03
ALB,0.75,-0.3,1.3E-01,2.0E-01,1,0.02
ALCAM,0.29,7.6,8.3E-03,2.0E-02,1,0.02
ALDH16A1,0.20,3.7,2.2E-01,3.1E-01,1,0.00
ALDH18A1,-0.24,5.1,1.9E-03,5.6E-03,0,0.02
ALDH1A1,-0.18,6.8,3.2E-01,4.2E-01,0,0.00
ALDH1A2,-0.47,2.8,1.2E-01,1.9E-01,0,0.01
ALDH1A3,-0.71,2.5,5.0E-05,2.3E-04,0,0.09
ALDH1B1,-0.01,3.9,9.7E-01,9.8E-01,0,0.00
ALDH1L1,-0.74,6.9,2.3E-03,6.7E-03,0,0.05
ALDH1L2,0.18,3.1,2.7E-01,3.7E-01,1,0.00
ALDH2,-0.52,8.3,7.9E-05,3.5E-04,0,0.06
ALDH3A1,0.33,1.1,4.4E-01,5.4E-01,1,0.00
ALDH3A2,0.14,6.6,1.8E-01,2.6E-01,1,0.00
ALDH3B1,-0.24,2.9,2.2E-01,3.1E-01,0,0.00
ALDH4A1,-0.40,6.4,3.0E-02,6.1E-02,0,0.02
ALDH5A1,-0.76,6.4,4.6E-08,4.8E-07,0,0.16
ALDH6A1,-0.40,7.5,4.4E-03,1.1E-02,0,0.03
ALDH7A1,-0.59,7.5,1.8E-04,7.2E-04,0,0.06
ALDH8A1,1.36,1.7,1.7E-04,6.8E-04,1,0.14
ALDH9A1,-0.34,6.8,1.5E-03,4.5E-03,0,0.03
ALDOA,-0.60,10.2,2.2E-07,1.9E-06,0,0.11
ALDOB,-0.35,0.3,2.0E-01,2.9E-01,0,0.01
ALDOC,-1.00,9.6,3.7E-09,5.3E-08,0,0.24
ALG1,-0.37,3.4,8.8E-03,2.1E-02,0,0.02
ALG10,0.60,-0.2,4.9E-02,9.0E-02,1,0.02
ALG10B,0.07,0.7,7.6E-01,8.2E-01,1,0.00
ALG11,0.20,2.2,1.9E-01,2.8E-01,1,0.00
ALG12,0.12,3.5,3.8E-01,4.8E-01,1,0.00
ALG14,-0.29,3.6,6.4E-03,1.6E-02,0,0.02
ALG1L,-1.58,-0.4,1.0E-04,4.5E-04,0,0.18
ALG2,-0.02,4.3,8.8E-01,9.2E-01,0,0.00
ALG3,0.00,4.0,9.9E-01,1.0E+00,0,0.00
ALG5,0.03,4.3,8.0E-01,8.5E-01,1,0.00
ALG6,0.00,2.6,1.0E+00,1.0E+00,0,0.00
ALG8,-0.09,4.3,3.4E-01,4.4E-01,0,0.00
ALG9,-0.24,4.4,6.5E-03,1.6E-02,0,0.01
ALK,-0.44,2.1,2.6E-02,5.3E-02,0,0.02
ALKBH1,0.16,3.2,1.8E-01,2.7E-01,1,0.00
ALKBH2,-0.26,3.7,6.9E-02,1.2E-01,0,0.01
ALKBH3,-0.19,3.7,1.3E-01,2.1E-01,0,0.00
ALKBH4,-0.36,3.7,2.2E-04,8.4E-04,0,0.04
ALKBH5,0.12,7.1,1.4E-01,2.2E-01,1,0.00
ALKBH6,-0.23,2.0,2.2E-01,3.1E-01,0,0.00
ALKBH7,-0.05,4.8,7.5E-01,8.2E-01,0,0.00
ALKBH8,0.09,2.8,5.1E-01,6.1E-01,1,0.00
ALMS1,0.31,4.7,4.3E-03,1.1E-02,1,0.02
ALOX12,0.38,0.6,1.1E-01,1.7E-01,1,0.01
ALOX12B,-2.01,-0.8,2.4E-04,9.1E-04,0,0.20
ALOX15B,1.64,2.9,1.4E-06,1.0E-05,1,0.27
ALOX5,0.03,4.1,9.2E-01,9.4E-01,1,0.00
ALOX5AP,0.29,4.8,1.5E-01,2.3E-01,1,0.01
ALOXE3,-1.07,-0.5,3.7E-02,7.1E-02,0,0.04
ALPK1,-0.22,3.9,1.3E-01,2.0E-01,0,0.01
ALPK3,1.00,3.7,6.1E-05,2.8E-04,1,0.12
ALPL,0.39,6.0,3.8E-02,7.3E-02,1,0.01
ALS2,-0.10,5.4,3.4E-01,4.4E-01,0,0.00
ALS2CL,0.68,3.6,4.3E-04,1.6E-03,1,0.06
ALS2CR12,0.43,0.3,2.5E-01,3.5E-01,1,0.01
ALX3,0.20,-0.4,8.3E-01,8.8E-01,1,0.00
ALX4,1.84,2.1,5.5E-05,2.6E-04,1,0.22
ALYREF,-0.21,4.6,4.4E-02,8.3E-02,0,0.01
AMACR,-0.52,1.5,1.4E-02,3.2E-02,0,0.03
AMBRA1,-0.12,5.4,1.9E-01,2.8E-01,0,0.00
AMD1,0.35,7.3,1.0E-03,3.3E-03,1,0.03
AMDHD2,0.00,2.7,9.8E-01,9.9E-01,1,0.00
AMER2,0.54,8.7,3.5E-04,1.3E-03,1,0.05
AMER3,-1.55,3.3,9.9E-08,9.5E-07,0,0.31
AMFR,-0.01,7.5,8.5E-01,9.0E-01,0,0.00
AMH,1.21,1.0,1.3E-04,5.4E-04,1,0.13
AMICA1,0.83,1.6,8.3E-04,2.7E-03,1,0.07
AMIGO1,-0.98,5.5,5.0E-16,8.0E-14,0,0.33
AMIGO2,0.83,3.4,3.5E-03,9.6E-03,1,0.06
AMMECR1L,0.28,4.6,2.2E-03,6.4E-03,1,0.02
AMN,0.87,-0.5,7.6E-02,1.3E-01,1,0.03
AMN1,-0.70,4.2,8.2E-12,2.6E-10,0,0.23
AMOTL1,0.22,5.7,1.0E-01,1.7E-01,1,0.01
AMOTL2,0.16,6.9,2.0E-01,2.9E-01,1,0.00
AMPD2,-0.48,7.0,2.4E-05,1.2E-04,0,0.06
AMPD3,-0.06,5.0,6.7E-01,7.5E-01,0,0.00
AMPH,-1.84,5.7,8.3E-15,7.6E-13,0,0.61
AMT,0.02,3.9,9.1E-01,9.4E-01,1,0.00
AMY2B,0.21,2.5,3.0E-01,4.0E-01,1,0.00
AMZ1,-0.67,3.5,6.1E-05,2.8E-04,0,0.08
AMZ2,-0.23,6.5,3.5E-03,9.4E-03,0,0.02
ANAPC1,-0.22,3.7,5.8E-02,1.0E-01,0,0.01
ANAPC10,-0.36,3.0,6.1E-04,2.1E-03,0,0.03
ANAPC11,0.07,6.3,5.3E-01,6.2E-01,1,0.00
ANAPC13,-0.35,5.4,9.4E-05,4.1E-04,0,0.04
ANAPC15,-0.38,3.7,3.3E-03,9.0E-03,0,0.03
ANAPC16,0.73,6.4,1.8E-10,3.6E-09,1,0.20
ANAPC2,-0.16,5.4,1.3E-01,2.0E-01,0,0.00
ANAPC4,0.12,4.1,2.8E-01,3.8E-01,1,0.00
ANAPC5,0.01,7.2,9.4E-01,9.6E-01,1,0.00
ANAPC7,-0.39,5.3,9.8E-06,5.7E-05,0,0.06
ANG,1.06,1.7,1.1E-04,4.8E-04,1,0.12
ANGEL1,0.14,5.9,1.6E-01,2.5E-01,1,0.00
ANGEL2,-0.18,5.1,5.1E-02,9.4E-02,0,0.01
ANGPT1,1.44,4.6,1.3E-07,1.3E-06,1,0.28
ANGPT2,2.00,5.8,1.6E-10,3.3E-09,1,0.56
ANGPTL1,0.52,2.9,2.1E-01,3.0E-01,1,0.01
ANGPTL2,0.15,5.3,3.4E-01,4.4E-01,1,0.00
ANGPTL4,0.06,7.0,8.5E-01,8.9E-01,1,0.00
ANK1,-0.90,3.1,4.9E-05,2.3E-04,0,0.11
ANK2,-0.52,8.7,5.5E-05,2.6E-04,0,0.06
ANK3,-0.27,7.7,7.4E-02,1.3E-01,0,0.01
ANKAR,0.15,1.3,4.0E-01,5.1E-01,1,0.00
ANKDD1A,-0.10,3.9,3.3E-01,4.3E-01,0,0.00
ANKEF1,0.02,1.1,1.0E+00,1.0E+00,1,0.00
ANKFN1,0.14,1.6,6.0E-01,6.9E-01,1,0.00
ANKFY1,0.11,6.8,2.8E-01,3.8E-01,1,0.00
ANKH,-0.08,7.5,3.1E-01,4.1E-01,0,0.00
ANKHD1,0.53,0.8,1.5E-02,3.4E-02,1,0.03
ANKHD1-EIF4EBP3,0.65,0.4,1.1E-02,2.5E-02,1,0.03
ANKIB1,0.21,6.8,3.3E-02,6.5E-02,1,0.01
ANKK1,0.46,-0.7,3.1E-01,4.1E-01,1,0.01
ANKLE1,0.93,0.9,3.6E-04,1.3E-03,1,0.09
ANKLE2,0.13,5.8,8.1E-02,1.4E-01,1,0.00
ANKMY1,-0.02,3.3,9.2E-01,9.4E-01,0,0.00
ANKMY2,-0.65,4.7,1.5E-06,1.1E-05,0,0.11
ANKRA2,-0.49,3.5,1.8E-04,7.2E-04,0,0.05
ANKRD10,0.73,5.9,1.3E-11,3.8E-10,1,0.23
ANKRD11,0.07,7.3,4.4E-01,5.5E-01,1,0.00
ANKRD12,0.41,6.1,1.6E-05,8.9E-05,1,0.06
ANKRD13A,0.05,5.7,6.4E-01,7.2E-01,1,0.00
ANKRD13B,0.03,5.4,8.0E-01,8.5E-01,1,0.00
ANKRD13C,-0.21,4.5,4.2E-02,7.9E-02,0,0.01
ANKRD13D,-0.03,6.1,7.5E-01,8.2E-01,0,0.00
ANKRD16,-0.54,2.9,1.1E-03,3.6E-03,0,0.04
ANKRD17,0.08,6.8,3.8E-01,4.8E-01,1,0.00
ANKRD18A,0.48,2.9,7.7E-02,1.3E-01,1,0.01
ANKRD18B,1.22,1.3,1.1E-04,4.7E-04,1,0.14
ANKRD2,-0.89,0.5,2.0E-02,4.3E-02,0,0.04
ANKRD22,0.21,0.6,6.9E-01,7.6E-01,1,0.00
ANKRD23,0.48,0.9,5.1E-02,9.3E-02,1,0.02
ANKRD24,-0.89,3.7,5.4E-07,4.3E-06,0,0.16
ANKRD26,-0.06,3.2,6.1E-01,7.0E-01,0,0.00
ANKRD27,0.10,5.4,2.5E-01,3.5E-01,1,0.00
ANKRD28,0.16,5.9,1.2E-01,1.9E-01,1,0.00
ANKRD29,-0.64,3.9,4.4E-06,2.8E-05,0,0.10
ANKRD30BL,-0.29,0.5,2.9E-01,3.9E-01,0,0.00
ANKRD32,-0.48,2.4,3.9E-03,1.0E-02,0,0.03
ANKRD33B,-0.81,0.2,1.9E-02,4.1E-02,0,0.04
ANKRD34A,-1.15,4.6,1.4E-08,1.7E-07,0,0.26
ANKRD34B,-1.95,-0.3,5.9E-05,2.8E-04,0,0.23
ANKRD34C,-1.17,0.4,1.4E-03,4.4E-03,0,0.09
ANKRD35,-0.19,4.3,1.2E-01,1.9E-01,0,0.00
ANKRD36,0.33,1.6,1.3E-01,2.0E-01,1,0.01
ANKRD36C,-0.12,1.9,5.4E-01,6.3E-01,0,0.00
ANKRD37,1.07,4.5,1.0E-03,3.3E-03,1,0.09
ANKRD39,-0.65,3.4,4.6E-06,2.9E-05,0,0.10
ANKRD40,0.85,8.5,3.0E-10,5.6E-09,1,0.23
ANKRD42,-0.74,3.9,1.5E-05,8.1E-05,0,0.10
ANKRD44,0.51,3.4,5.7E-04,2.0E-03,1,0.05
ANKRD45,-0.06,2.4,7.4E-01,8.1E-01,0,0.00
ANKRD46,-0.23,5.9,1.4E-02,3.2E-02,0,0.01
ANKRD49,0.57,3.2,7.9E-06,4.7E-05,1,0.08
ANKRD50,0.10,4.2,5.3E-01,6.3E-01,1,0.00
ANKRD52,-0.23,6.0,1.2E-02,2.7E-02,0,0.01
ANKRD53,0.58,0.3,1.5E-02,3.2E-02,1,0.03
ANKRD54,-0.18,5.2,1.8E-02,4.0E-02,0,0.01
ANKRD55,-0.52,0.6,2.7E-02,5.4E-02,0,0.02
ANKRD6,-0.09,4.1,4.9E-01,5.9E-01,0,0.00
ANKRD65,0.00,5.1,1.0E+00,1.0E+00,1,0.00
ANKRD66,-0.04,0.0,9.0E-01,9.3E-01,0,0.00
ANKRD9,0.11,3.6,5.2E-01,6.2E-01,1,0.00
ANKS1A,0.50,6.5,7.7E-06,4.6E-05,1,0.07
ANKS1B,-0.34,7.1,3.9E-03,1.0E-02,0,0.02
ANKS3,0.25,4.4,2.0E-02,4.2E-02,1,0.01
ANKS6,0.34,5.0,1.4E-03,4.2E-03,1,0.03
ANKUB1,1.34,-0.5,7.7E-03,1.9E-02,1,0.08
ANKZF1,0.40,5.1,9.3E-04,3.0E-03,1,0.03
ANLN,1.02,8.9,3.4E-08,3.7E-07,1,0.22
ANO1,0.17,2.0,6.1E-01,7.0E-01,1,0.00
ANO10,-0.09,5.3,3.2E-01,4.3E-01,0,0.00
ANO2,1.10,2.7,3.2E-08,3.5E-07,1,0.24
ANO3,-2.05,4.1,3.7E-13,1.8E-11,0,0.68
ANO4,-0.20,4.7,2.5E-01,3.4E-01,0,0.00
ANO5,-0.48,4.1,1.1E-03,3.6E-03,0,0.04
ANO6,0.87,6.0,9.6E-11,2.1E-09,1,0.25
ANO7,0.30,1.5,3.2E-01,4.2E-01,1,0.00
ANO8,-0.20,5.0,1.1E-01,1.8E-01,0,0.01
ANP32A,-0.06,6.8,3.7E-01,4.7E-01,0,0.00
ANP32B,0.68,7.2,7.7E-06,4.6E-05,1,0.10
ANP32E,-0.07,6.0,5.1E-01,6.1E-01,0,0.00
ANPEP,0.93,3.4,3.9E-05,1.9E-04,1,0.11
ANTXR1,0.58,7.3,1.7E-03,5.2E-03,1,0.04
ANTXR2,1.14,4.4,2.4E-08,2.7E-07,1,0.25
ANXA1,1.16,6.5,9.4E-08,9.0E-07,1,0.23
ANXA11,-0.29,7.1,1.7E-02,3.7E-02,0,0.01
ANXA13,0.62,0.0,1.4E-01,2.2E-01,1,0.01
ANXA2,0.89,6.7,3.6E-07,3.0E-06,1,0.16
ANXA2R,0.90,1.5,1.3E-04,5.4E-04,1,0.10
ANXA3,0.48,5.0,6.7E-02,1.2E-01,1,0.01
ANXA4,0.39,5.3,1.8E-03,5.3E-03,1,0.03
ANXA5,0.47,7.8,2.0E-04,8.0E-04,1,0.05
ANXA6,-0.56,7.6,2.6E-04,9.8E-04,0,0.06
ANXA7,-0.35,7.0,1.2E-05,6.9E-05,0,0.05
ANXA9,0.55,4.5,2.7E-04,1.0E-03,1,0.05
AOAH,0.04,3.2,8.7E-01,9.1E-01,1,0.00
AOC2,-0.05,1.2,8.9E-01,9.3E-01,0,0.00
AOC3,1.67,4.6,5.4E-03,1.4E-02,1,0.10
AOX1,0.57,2.2,2.6E-02,5.3E-02,1,0.02
AP000322.54,-0.27,0.6,3.0E-01,4.0E-01,0,0.00
AP000350.4,0.61,-0.1,2.2E-01,3.1E-01,1,0.01
AP000708.1,-0.19,0.5,4.4E-01,5.4E-01,0,0.00
AP000769.1,0.58,0.7,2.7E-02,5.4E-02,1,0.02
AP001055.1,-0.01,-0.5,1.0E+00,1.0E+00,0,0.00
AP001468.1,0.95,0.7,3.3E-04,1.2E-03,1,0.09
AP001816.1,-0.76,3.3,3.7E-07,3.1E-06,0,0.14
AP003068.23,-0.94,0.3,2.3E-03,6.7E-03,0,0.07
AP003068.6,1.15,0.9,3.2E-06,2.1E-05,1,0.18
AP003733.1,0.66,-0.2,1.1E-01,1.8E-01,1,0.02
AP003774.4,0.33,1.1,2.5E-01,3.4E-01,1,0.01
AP005482.1,0.22,1.6,3.2E-01,4.2E-01,1,0.00
AP006621.5,0.07,2.5,7.2E-01,7.9E-01,1,0.00
AP1AR,-0.33,4.2,8.2E-03,2.0E-02,0,0.02
AP1B1,-0.41,7.3,3.1E-05,1.5E-04,0,0.05
AP1G1,-0.02,6.4,8.3E-01,8.7E-01,0,0.00
AP1G2,0.68,3.8,1.0E-06,7.7E-06,1,0.12
AP1M1,-0.54,6.2,3.4E-09,4.9E-08,0,0.13
AP1S1,-0.78,5.9,3.0E-08,3.3E-07,0,0.17
AP1S3,-0.05,-0.3,9.3E-01,9.5E-01,0,0.00
AP2A1,-0.67,7.2,6.2E-15,5.9E-13,0,0.22
AP2A2,-0.51,7.1,2.2E-09,3.4E-08,0,0.13
AP2B1,-0.40,8.7,1.6E-07,1.5E-06,0,0.08
AP2M1,-0.70,8.9,1.3E-14,1.1E-12,0,0.23
AP2S1,-0.69,6.1,4.0E-09,5.6E-08,0,0.17
AP3B1,0.20,5.6,4.8E-02,8.9E-02,1,0.01
AP3B2,-1.55,5.8,5.5E-16,8.6E-14,0,0.52
AP3D1,-0.35,7.4,9.0E-07,6.8E-06,0,0.06
AP3M1,0.16,5.3,1.1E-01,1.7E-01,1,0.00
AP3M2,-0.70,5.9,4.1E-12,1.4E-10,0,0.23
AP3S1,-0.20,5.9,3.6E-02,7.0E-02,0,0.01
AP3S2,-0.40,5.4,4.2E-06,2.7E-05,0,0.06
AP4B1,-0.26,3.9,1.3E-02,2.9E-02,0,0.01
AP4E1,0.38,3.5,3.0E-02,6.0E-02,1,0.02
AP4M1,0.15,4.0,2.2E-01,3.1E-01,1,0.00
AP4S1,-0.73,3.1,7.0E-09,9.3E-08,0,0.17
AP5B1,0.26,2.7,5.0E-02,9.2E-02,1,0.01
AP5M1,-0.15,4.9,1.1E-01,1.8E-01,0,0.00
AP5S1,-0.41,3.7,1.2E-03,3.8E-03,0,0.03
