MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
RPL31P28|ENSG00000219863	ad	control	31.00	-0.078	0.9381	??????-?
IL6STP1|ENSG00000227018	ad	control	31.00	-0.237	0.8129	??????-?
RAB8B|ENSG00000166128	ad	control	279.00	-1.953	0.05077	-++----+
SEC61B|ENSG00000106803	ad	control	279.00	1.332	0.1828	+++++---
HCG23|ENSG00000225834	ad	control	101.00	4.448	8.686e-06	????+++?
CNNM3-DT|ENSG00000273265	ad	control	168.00	-0.553	0.5806	?????---
LINC02580|ENSG00000230587	ad	control	62.00	-0.983	0.3255	?????--?
CENATAC-DT|ENSG00000255121	ad	control	134.00	-0.100	0.9204	++--?+-?
ENO1|ENSG00000074800	ad	control	173.00	1.197	0.2315	+++++--?
ZC3H12C|ENSG00000149289	ad	control	279.00	-2.450	0.01428	-----+++
TATDN3|ENSG00000203705	ad	control	279.00	2.270	0.02319	+++++--+
GTF3C2-AS2|ENSG00000234072	ad	control	207.00	0.282	0.7779	????+++-
LINC02123|ENSG00000250668	ad	control	62.00	-0.231	0.8174	?????--?
KCNJ4|ENSG00000168135	ad	control	279.00	0.208	0.8354	+++++---
LRP6|ENSG00000281324	ad	control	279.00	0.164	0.87	-----+++
HNRNPUL2|ENSG00000214753	ad	control	173.00	2.734	0.006258	++-++++?
MTPAP|ENSG00000107951	ad	control	279.00	0.982	0.3263	-++-+--+
C2orf49|ENSG00000135974	ad	control	279.00	0.558	0.5772	+-++-+++
DARS2|ENSG00000117593	ad	control	279.00	-1.359	0.1742	++------
CSF3R|ENSG00000119535	ad	control	279.00	-2.339	0.01935	--------
TMEM208|ENSG00000168701	ad	control	279.00	-0.916	0.3597	----+--+
PLAC9P1|ENSG00000214100	ad	control	62.00	0.210	0.8335	?????+-?
KCTD5P1|ENSG00000224232	ad	control	62.00	-0.085	0.9322	?????--?
C1QTNF9B|ENSG00000205863	ad	control	168.00	-0.579	0.5628	?????--+
RDXP1|ENSG00000255387	ad	control	31.00	-0.077	0.9386	?????-??
COPB2|ENSG00000184432	ad	control	173.00	2.719	0.006543	++++-++?
ADHFE1|ENSG00000147576	ad	control	279.00	0.293	0.7697	+++++--+
TPTE2P6|ENSG00000205822	ad	control	62.00	0.142	0.8874	?????++?
LOC100422225|ENSG00000258510	ad	control	106.00	0.180	0.857	???????+
NFKBIE|ENSG00000146232	ad	control	279.00	-1.557	0.1195	++------
TMEM139-AS1|ENSG00000231840	ad	control	168.00	1.027	0.3046	?????++-
LOC100288146|ENSG00000251473	ad	control	106.00	0.470	0.638	???????+
SPAG17|ENSG00000155761	ad	control	240.00	-0.150	0.8809	+-+-?--+
TMEM191C|ENSG00000206140	ad	control	101.00	-0.465	0.6421	????+--?
SLC22A16|ENSG00000004809	ad	control	62.00	1.228	0.2195	?????++?
PRDM10-DT|ENSG00000233220	ad	control	168.00	0.273	0.7848	?????+++
GOLGA6L26|ENSG00000288440	ad	control	31.00	-0.052	0.9585	?????-??
ACTBP15|ENSG00000213857	ad	control	62.00	-0.117	0.9072	?????-+?
HAR1B|ENSG00000231133	ad	control	62.00	-1.031	0.3027	?????--?
BAHCC1|ENSG00000266074	ad	control	279.00	-0.929	0.3528	----+++-
RPS27AP16|ENSG00000224631	ad	control	62.00	3.025	0.002483	?????++?
POU6F2-AS1|ENSG00000224122	ad	control	106.00	-0.327	0.744	???????-
C2orf66|ENSG00000187944	ad	control	62.00	-1.139	0.2547	?????--?
HSPE1P26|ENSG00000220867	ad	control	62.00	0.047	0.9625	?????-+?
EXOSC1|ENSG00000171311	ad	control	279.00	-1.874	0.06089	-------+
BCAR3|ENSG00000137936	ad	control	279.00	-2.812	0.004923	-----++-
FBXW10|ENSG00000171931	ad	control	62.00	-0.996	0.3193	?????--?
EBLN2|ENSG00000255423	ad	control	279.00	-1.425	0.154	------++
AMPD3|ENSG00000133805	ad	control	279.00	-0.790	0.4293	-----++-
SNURF|ENSG00000273173	ad	control	173.00	0.855	0.3927	+++++--?
CTTNBP2NL|ENSG00000143079	ad	control	279.00	-1.690	0.09094	-----+++
PIK3C3|ENSG00000078142	ad	control	279.00	4.039	5.358e-05	++++++++
HIF1A|ENSG00000100644	ad	control	173.00	-1.320	0.1867	-+-++--?
ATP13A1|ENSG00000105726	ad	control	279.00	-3.016	0.002559	--------
DNASE2B|ENSG00000137976	ad	control	62.00	0.702	0.4825	?????-+?
ZBTB16|ENSG00000109906	ad	control	279.00	-2.082	0.0373	-----++-
TEFM|ENSG00000172171	ad	control	279.00	-2.064	0.03899	-------+
EIF3J|ENSG00000104131	ad	control	173.00	-0.039	0.9689	-+---++?
OCM2|ENSG00000135175	ad	control	62.00	-0.054	0.9567	?????-+?
MAML2|ENSG00000184384	ad	control	173.00	-5.586	2.326e-08	-----+-?
SLC17A5|ENSG00000119899	ad	control	279.00	-1.820	0.06874	-+-----+
KLHL34|ENSG00000185915	ad	control	173.00	0.759	0.4476	--+-+++?
