MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
LDHAL6DP|ENSG00000250257	ad	control	517.0	0.365	0.7149	?????---?++++?	0.9992687041810332
RN7SL775P|ENSG00000243370	ad	control	62.0	0.046	0.9636	?????+-???????	0.9992687041810332
GULP1|ENSG00000144366	ad	control	687.0	-0.532	0.5948	+++++-----+-+-	0.9973599686643164
TOMM22-DT|ENSG00000228274	ad	control	615.0	0.003	0.9979	????+-+-+--+-+	0.999534971745745
RAB5C-AS1|ENSG00000267658	ad	control	124.0	0.127	0.8992	?????-+-+?????	0.9992687041810332
TMEM54|ENSG00000121900	ad	control	687.0	-2.999	0.002711	-----++++-----	0.04791192684365782
C1orf74|ENSG00000162757	ad	control	687.0	-0.227	0.8204	---++-+-----++	0.9992687041810332
LINC01482|ENSG00000267659	ad	control	93.0	-0.298	0.7654	??????---?????	0.9992687041810332
C9orf78P2|ENSG00000224569	ad	control	31.0	0.174	0.8622	????????+?????	0.9992687041810332
HNRNPD|ENSG00000138668	ad	control	235.0	3.878	0.0001053	++++++-++?????	0.006725728784648188
SYT4|ENSG00000132872	ad	control	687.0	2.315	0.02059	+++++----++-++	0.1611269696969697
LRWD1|ENSG00000161036	ad	control	687.0	-0.717	0.4737	-++-+--------+	0.9145499613302398
LOC121725015|ENSG00000264449	ad	control	124.0	-0.263	0.7924	?????----?????	0.9992687041810332
ZNF613|ENSG00000176024	ad	control	687.0	-1.858	0.06322	-----+++--++--	0.31009580893178473
STX12|ENSG00000117758	ad	control	687.0	4.294	1.755e-05	+++++--+-+++++	0.002090976349206349
MAP3K5-AS2|ENSG00000286646	ad	control	452.0	-1.179	0.2383	?????????---+-	0.6536502884351251
