MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
ZNF10|ENSG00000256223	ad	control	279.0	4.252	2.121e-05	+++++-++	0.0017442034383954154
B3GNT9|ENSG00000237172	ad	control	279.0	-3.545	0.0003926	----+---	0.01058986842105263
SMC2|ENSG00000136824	ad	control	173.0	4.275	1.909e-05	+++++++?	0.0016452942942942943
BTF3L4|ENSG00000134717	ad	control	279.0	3.316	0.0009127	+++++--+	0.018317825174825175
BOC|ENSG00000144857	ad	control	279.0	-3.591	0.0003291	--------	0.00932395853899309
PPM1H|ENSG00000111110	ad	control	279.0	3.804	0.0001422	++++++++	0.005434274300932089
ZNF25|ENSG00000175395	ad	control	173.0	3.511	0.000446	+++++--?	0.011459444941808415
LINC00602|ENSG00000281832	ad	control	134.0	2.932	0.003368	++++?--?	0.04260096959012781
RASAL3|ENSG00000105122	ad	control	173.0	-3.343	0.0008283	-----++?	0.017139300648882482
EML6|ENSG00000214595	ad	control	173.0	4.106	4.032e-05	++++++-?	0.0024779100642398286
TTC31|ENSG00000115282	ad	control	279.0	-3.13	0.001749	-----++-	0.027902334630350193
CSF2RB|ENSG00000100368	ad	control	173.0	-3.139	0.001694	+------?	0.027175964225824484
CHP1P2|ENSG00000213073	ad	control	101.0	-3.117	0.001828	????---?	0.028715708812260536
IFT140|ENSG00000187535	ad	control	279.0	-3.761	0.0001693	-----++-	0.006043043478260869
ALG13|ENSG00000101901	ad	control	279.0	4.014	5.965e-05	++++++++	0.0031987649253731342
DLD|ENSG00000091140	ad	control	173.0	3.008	0.002632	+++++--?	0.03638651252408477
NDEL1|ENSG00000166579	ad	control	279.0	4.109	3.982e-05	++++++++	0.0024604399141630903
PCDHGA5|ENSG00000253485	ad	control	173.0	-3.432	0.0005992	-------?	0.013823987138263666
G3BP2|ENSG00000138757	ad	control	279.0	3.244	0.00118	+++++--+	0.021570700636942674
SUSD1|ENSG00000106868	ad	control	279.0	3.335	0.0008521	+++++--+	0.01743069850320741
PAGR1|ENSG00000280789	ad	control	279.0	-4.005	6.194e-05	-----++-	0.003285911275415897
ZNF579|ENSG00000218891	ad	control	173.0	-3.934	8.365e-05	-------?	0.003957952224052718
TLR5|ENSG00000187554	ad	control	279.0	-4.917	8.792e-07	------+-	0.00025190643564356434
FAM78A|ENSG00000126882	ad	control	279.0	-3.956	7.627e-05	--------	0.0036975489864864864
BDNF|ENSG00000176697	ad	control	173.0	2.865	0.004167	+++++--?	0.04927601977750309
SELENON|ENSG00000162430	ad	control	279.0	-3.519	0.0004333	--------	0.011294922797456858
ESRP2|ENSG00000103067	ad	control	134.0	-3.953	7.713e-05	----?--?	0.0037203882352941178
KCNN4|ENSG00000104783	ad	control	62.0	-3.377	0.0007336	?????--?	0.015878069381598796
AEN|ENSG00000181026	ad	control	279.0	-3.577	0.0003479	--------	0.0096845101842871
SLC12A2-DT|ENSG00000245937	ad	control	279.0	3.427	0.0006114	+++++++-	0.01404898318654924
CPXM1|ENSG00000088882	ad	control	62.0	-2.875	0.004046	?????--?	0.04842376980817348
UNC13D|ENSG00000092929	ad	control	279.0	-2.869	0.00412	-----++-	0.048949048800661706
APOC1P1|ENSG00000214855	ad	control	62.0	-2.901	0.003716	?????--?	0.045627844311377244
PPM1A|ENSG00000100614	ad	control	279.0	2.886	0.003906	++++-+++	0.047364695945945945
COG1|ENSG00000166685	ad	control	279.0	3.063	0.00219	+++++--+	0.032033469179826794
ZNF195|ENSG00000005801	ad	control	279.0	3.026	0.002475	+++++--+	0.03486810598626104
TOR4A|ENSG00000198113	ad	control	173.0	-3.928	8.549e-05	------+?	0.003998368078175896
ADORA2A|ENSG00000128271	ad	control	173.0	-3.772	0.000162	------+?	0.005945524296675192
OSTF1|ENSG00000134996	ad	control	279.0	3.008	0.002626	+++++--+	0.03633857280617165
MOB1A|ENSG00000114978	ad	control	279.0	-4.579	4.677e-06	-------+	0.0006637758620689655
TMEM255B|ENSG00000184497	ad	control	173.0	-5.581	2.394e-08	------+?	2.7483120000000003e-05
PABPC1L|ENSG00000101104	ad	control	279.0	-3.767	0.0001651	--------	0.00596772040302267
TRAPPC9|ENSG00000167632	ad	control	279.0	3.496	0.000472	+++++--+	0.011945679012345679
PYCR1|ENSG00000183010	ad	control	173.0	-3.287	0.001011	-------?	0.019552358490566035
METTL25B|ENSG00000143303	ad	control	279.0	-3.36	0.0007785	------+-	0.016538082901554407
RRAS|ENSG00000126458	ad	control	279.0	-3.244	0.00118	------+-	0.021570700636942674
MMP2|ENSG00000087245	ad	control	173.0	-3.518	0.0004347	------+?	0.01130322463768116
WDR6|ENSG00000178252	ad	control	279.0	-3.715	0.0002035	--------	0.0068012325581395345
SAFB2|ENSG00000130254	ad	control	279.0	-3.536	0.0004061	-----++-	0.010821792014856082
CEP89|ENSG00000121289	ad	control	279.0	-2.966	0.003017	------+-	0.03971922018348624
SLC2A4|ENSG00000181856	ad	control	173.0	-3.277	0.001048	-------?	0.01993214049039099
ANKRD9|ENSG00000156381	ad	control	279.0	-3.161	0.001572	-----+--	0.02582507155123068
CTSS|ENSG00000163131	ad	control	279.0	-3.517	0.0004364	+-------	0.011329493670886075
CKAP5|ENSG00000175216	ad	control	279.0	3.9	9.606e-05	++++++++	0.004305447737909516
